GCA.003470645.1.ASM347064v1	GCA.015831805.1.ASM1583180v1	GCA.003474465.1.ASM347446v1	GCA.003612665.1.ASM361266v1	GCA.003439865.1.ASM343986v1	GCA.013361135.1.ASM1336113v1	GCA.005844895.1.ASM584489v1	GCA.001405735.1.14207.7.66	GCA.003458305.1.ASM345830v1	GCA.003472085.1.ASM347208v1	GCA.003472925.1.ASM347292v1	GCA.003468975.1.ASM346897v1	GCA.005844955.1.ASM584495v1	GCA.005844935.1.ASM584493v1	GCA.015557725.1.ASM1555772v1	GCA.000699665.1.ASM69966v1	GCA.015550085.1.ASM1555008v1	GCA.015548845.1.ASM1554884v1	GCA.015554355.1.ASM1555435v1	GCA.015555955.1.ASM1555595v1	GCA.015552185.1.ASM1555218v1	GCA.015670595.1.ASM1567059v1	GCA.015558885.1.ASM1555888v1	GCA.003463955.1.ASM346395v1	GCA.000178275.1.ASM17827v1	P18.D7	GCA.015561385.1.ASM1556138v1	GCA.015549745.1.ASM1554974v1	GCA.001578575.1.ASM157857v1	GCA.003465985.1.ASM346598v1	GCA.015550165.1.ASM1555016v1	GCA.015552295.1.ASM1555229v1	GCA.015554165.1.ASM1555416v1	GCA.003466305.1.ASM346630v1	GCA.015548325.1.ASM1554832v1	GCA.003465275.1.ASM346527v1	GCA.009734165.1.ASM973416v1	GCA.004167785.1.ASM416778v1	GCA.015547705.1.ASM1554770v1	GCA.015558455.1.ASM1555845v1	GCA.003459425.1.ASM345942v1	GCA.015554685.1.ASM1555468v1	GCA.015550025.1.ASM1555002v1	GCA.015556825.1.ASM1555682v1	GCA.015557585.1.ASM1555758v1	GCA.015555775.1.ASM1555577v1	GCA.900095495.1.B.ovatus.V975	GCA.015548155.1.ASM1554815v1	GCA.015552205.1.ASM1555220v1	GCA.003363235.1.ASM336323v1
GCA.003470645.1.ASM347064v1	0	0.00772879679502363	0.00450123468288068	0.00484909337130006	0.00620493317764621	0.0261875192965043	0.026489898792119	0.0277164549199923	0.0273759682644346	0.0275253359230631	0.0267624644984361	0.0268190051586807	0.0274838745921374	0.0270773705961153	0.0400033070022743	0.0419261628112698	0.072094691774136	0.0704271208829191	0.0607068597775497	0.0652680155335613	0.0648747479045932	0.0733435820906425	0.0698958137288144	0.0711183261042101	0.069371521296877	0.0652929755547692	0.0728411590760101	0.073263097100581	0.0732565736883533	0.0458688686432267	0.0855234020428864	0.0466699029015326	0.0461223864582371	0.0470475606160327	0.047607813337215	0.050620032994985	0.0528519713701213	0.0480231656166404	0.0421702755398215	0.0490478316041142	0.0477877940091122	0.0534772229491191	0.0497148827724833	0.0510526173500296	0.0518207624058651	0.0529394838626803	0.0522298658916317	0.0515003784596749	0.0514068222810546	0.00920027061895028
GCA.015831805.1.ASM1583180v1	0.00772879679502363	0	0.00706510120732246	0.00741295989574184	0.00935275912561825	0.0302246001320996	0.0305269796277143	0.0317535357555876	0.0314130491000299	0.0315624167586584	0.0307995453340314	0.030856085994276	0.0315209554277327	0.0311144514317106	0.0440403878378696	0.045963243646865	0.0761317726097313	0.0744642017185143	0.064743940613145	0.0693050963691566	0.0689118287401885	0.0773806629262378	0.0739328945644096	0.0751554069398053	0.0734086021324723	0.0693300563903645	0.0768782399116054	0.0773001779361763	0.0772936545239485	0.0499059494788219	0.0895604828784817	0.0507069837371279	0.0501594672938324	0.051084641451628	0.0516448941728103	0.0546571138305803	0.0568890522057166	0.0520602464522356	0.0462073563754168	0.0530849124397095	0.0518248748447075	0.0575143037847144	0.0537519636080786	0.0550896981856249	0.0558578432414604	0.0569765646982756	0.056266946727227	0.0555374592952702	0.0554439031166499	0.0132373514545456
GCA.003474465.1.ASM347446v1	0.00450123468288068	0.00706510120732246	0	0.00318246874972285	0.00612519701347529	0.0269970380199567	0.0272994175155714	0.0285259736434447	0.0281854869878869	0.0283348546465154	0.0275719832218884	0.027628523882133	0.0282933933155897	0.0278868893195676	0.0408128257257266	0.0427356815347221	0.0729042104975883	0.0712366396063714	0.061516378501002	0.0660775342570137	0.0656842666280456	0.0741531008140948	0.0707053324522667	0.0719278448276624	0.0701810400203294	0.0661024942782216	0.0736506777994624	0.0740726158240333	0.0740660924118056	0.046678387366679	0.0863329207663387	0.0474794216249849	0.0469319051816895	0.047857079339485	0.0484173320606673	0.0514295517184373	0.0536614900935736	0.0488326843400927	0.0429797942632739	0.0498573503275666	0.0485973127325646	0.0542867416725714	0.0505244014959356	0.0518621360734819	0.0526302811293174	0.0537490025861326	0.0530393846150841	0.0523098971831273	0.0522163410045069	0.0100097893424026
GCA.003612665.1.ASM361266v1	0.00484909337130006	0.00741295989574184	0.00318246874972285	0	0.00647305570189467	0.027344896708376	0.0276472762039907	0.028873832331864	0.0285333456763063	0.0286827133349348	0.0279198419103078	0.0279763825705524	0.0286412520040091	0.028234748007987	0.041160684414146	0.0430835402231415	0.0732520691860077	0.0715844982947908	0.0618642371894214	0.066425392945433	0.0660321253164649	0.0745009595025142	0.0710531911406861	0.0722757035160818	0.0705288987087487	0.066450352966641	0.0739985364878818	0.0744204745124527	0.074413951100225	0.0470262460550984	0.0866807794547581	0.0478272803134043	0.0472797638701088	0.0482049380279044	0.0487651907490867	0.0517774104068567	0.054009348781993	0.0491805430285121	0.0433276529516932	0.0502052090159859	0.0489451714209839	0.0546346003609908	0.050872260184355	0.0522099947619013	0.0529781398177368	0.054096861274552	0.0533872433035035	0.0526577558715466	0.0525641996929263	0.010357648030822
GCA.003439865.1.ASM343986v1	0.00620493317764621	0.00935275912561825	0.00612519701347529	0.00647305570189467	0	0.0287007365147222	0.0290031160103369	0.0302296721382102	0.0298891854826524	0.0300385531412809	0.0292756817166539	0.0293322223768985	0.0299970918103552	0.0295905878143331	0.0425165242204922	0.0444393800294876	0.0746079089923539	0.0729403381011369	0.0632200769957676	0.0677812327517792	0.0673879651228111	0.0758567993088604	0.0724090309470322	0.0736315433224279	0.0718847385150949	0.0678061927729871	0.0753543762942279	0.0757763143187989	0.0757697909065711	0.0483820858614445	0.0880366192611043	0.0491831201197505	0.048635603676455	0.0495607778342506	0.0501210305554328	0.0531332502132029	0.0553651885883392	0.0505363828348582	0.0446834927580394	0.0515610488223321	0.0503010112273301	0.0559904401673369	0.0522280999907011	0.0535658345682474	0.054333979624083	0.0554527010808981	0.0547430831098496	0.0540135956778928	0.0539200394992724	0.0117134878371681
GCA.013361135.1.ASM1336113v1	0.0261875192965043	0.0302246001320996	0.0269970380199567	0.027344896708376	0.0287007365147222	0	0.0162845847663768	0.0175111408942501	0.0171706542386923	0.0173200218973208	0.0165571504726938	0.0166136911329384	0.0172785605663951	0.016872056570373	0.0400341927500397	0.0419570485590351	0.0721255775219014	0.0704580066306844	0.0607377455253151	0.0652989012813267	0.0649056336523586	0.0733744678384079	0.0699266994765797	0.0711492118519754	0.0694024070446424	0.0653238613025346	0.0728720448237754	0.0732939828483464	0.0732874594361186	0.045899754390992	0.0855542877906518	0.046700788649298	0.0461532722060025	0.0470784463637981	0.0476386990849803	0.0506509187427504	0.0528828571178867	0.0480540513644057	0.0422011612875869	0.0490787173518796	0.0478186797568776	0.0535081086968844	0.0497457685202486	0.0510835030977949	0.0518516481536305	0.0529703696104456	0.0522607516393971	0.0515312642074403	0.0514377080288199	0.0212471771456099
GCA.005844895.1.ASM584489v1	0.026489898792119	0.0305269796277143	0.0272994175155714	0.0276472762039907	0.0290031160103369	0.0162845847663768	0	0.0085625535881923	0.00822206693263455	0.00837143459126305	0.00760856316663606	0.00766510382688065	0.00832997326033733	0.00792346926431525	0.0403365722456544	0.0422594280546498	0.0724279570175161	0.0707603861262991	0.0610401250209298	0.0656012807769414	0.0652080131479733	0.0736768473340226	0.0702290789721944	0.0714515913475901	0.0697047865402571	0.0656262407981493	0.0731744243193902	0.0735963623439611	0.0735898389317333	0.0462021338866067	0.0858566672862665	0.0470031681449127	0.0464556517016172	0.0473808258594128	0.047941078580595	0.0509532982383651	0.0531852366135014	0.0483564308600204	0.0425035407832016	0.0493810968474943	0.0481210592524923	0.0538104881924992	0.0500481480158634	0.0513858825934096	0.0521540276492452	0.0532727491060603	0.0525631311350118	0.051833643703055	0.0517400875244346	0.0215495566412246
GCA.001405735.1.14207.7.66	0.0277164549199923	0.0317535357555876	0.0285259736434447	0.028873832331864	0.0302296721382102	0.0175111408942501	0.0085625535881923	0	0.000855183200557853	0.00106038801841175	0.00326650039093256	0.00332304105117715	0.00398791048463383	0.00358140648861175	0.0415631283735277	0.0434859841825231	0.0736545131453893	0.0719869422541724	0.0622666811488031	0.0668278369048147	0.0664345692758466	0.0749034034618959	0.0714556351000677	0.0726781474754634	0.0709313426681304	0.0668527969260226	0.0744009804472634	0.0748229184718344	0.0748163950596066	0.04742869001448	0.0870832234141398	0.048229724272786	0.0476822078294905	0.0486073819872861	0.0491676347084683	0.0521798543662383	0.0544117927413746	0.0495829869878937	0.0437300969110749	0.0506076529753676	0.0493476153803656	0.0550370443203724	0.0512747041437366	0.0526124387212829	0.0533805837771185	0.0544993052339336	0.0537896872628851	0.0530601998309283	0.0529666436523079	0.0227761127690979
GCA.003458305.1.ASM345830v1	0.0273759682644346	0.0314130491000299	0.0281854869878869	0.0285333456763063	0.0298891854826524	0.0171706542386923	0.00822206693263455	0.000855183200557853	0	0.000719901362854008	0.00292601373537481	0.0029825543956194	0.00364742382907608	0.00324091983305401	0.0412226417179699	0.0431454975269654	0.0733140264898316	0.0716464555986147	0.0619261944932453	0.0664873502492569	0.0660940826202888	0.0745629168063381	0.07111514844451	0.0723376608199057	0.0705908560125726	0.0665123102704649	0.0740604937917057	0.0744824318162766	0.0744759084040489	0.0470882033589223	0.086742736758582	0.0478892376172282	0.0473417211739327	0.0482668953317283	0.0488271480529106	0.0518393677106806	0.0540713060858169	0.049242500332336	0.0433896102555171	0.0502671663198098	0.0490071287248078	0.0546965576648147	0.0509342174881789	0.0522719520657252	0.0530400971215607	0.0541588185783759	0.0534492006073274	0.0527197131753705	0.0526261569967502	0.0224356261135402
GCA.003472085.1.ASM347208v1	0.0275253359230631	0.0315624167586584	0.0283348546465154	0.0286827133349348	0.0300385531412809	0.0173200218973208	0.00837143459126305	0.00106038801841175	0.000719901362854008	0	0.00307538139400331	0.0031319220542479	0.00379679148770458	0.00339028749168251	0.0413720093765984	0.0432948651855939	0.0734633941484601	0.0717958232572432	0.0620755621518738	0.0666367179078854	0.0662434502789173	0.0747122844649666	0.0712645161031385	0.0724870284785342	0.0707402236712011	0.0666616779290933	0.0742098614503342	0.0746317994749051	0.0746252760626774	0.0472375710175508	0.0868921044172105	0.0480386052758567	0.0474910888325612	0.0484162629903568	0.0489765157115391	0.0519887353693091	0.0542206737444454	0.0493918679909645	0.0435389779141456	0.0504165339784383	0.0491564963834363	0.0548459253234432	0.0510835851468074	0.0524213197243537	0.0531894647801892	0.0543081862370044	0.0535985682659558	0.052869080833999	0.0527755246553787	0.0225849937721687
