GCA.015556465.1.ASM1555646v1	GCA.015547465.1.ASM1554746v1	GCA.007556425.1.ASM755642v1	GCA.001578565.1.ASM157856v1	GCA.003474005.1.ASM347400v1	GCA.001055755.1.ASM105575v1	GCA.008329455.1.ASM832945v1	GCA.015547765.1.ASM1554776v1	GCA.015831845.1.ASM1583184v1	GCA.003458585.1.ASM345858v1	GCA.001405255.1.13414.6.57	GCA.001049535.1.3731	GCA.003464695.1.ASM346469v1	GCA.003463855.1.ASM346385v1	GCA.003474715.1.ASM347471v1	GCA.003472055.1.ASM347205v1	GCA.000403155.2.Bact.thet.dnLKV9.V1	GCA.015670455.1.ASM1567045v1	GCA.012151035.1.ASM1215103v1	GCA.015548265.1.ASM1554826v1	GCA.015554205.1.ASM1555420v1	GCA.004349635.1.ASM434963v1	GCA.015556535.1.ASM1555653v1	GCA.015560505.1.ASM1556050v1	GCA.001405895.1.14207.7.22	GCA.015546775.1.ASM1554677v1	GCA.004167525.1.ASM416752v1	GCA.003466025.1.ASM346602v1	GCA.001816245.2.ASM181624v2	GCA.015554035.1.ASM1555403v1	GCA.001314975.1.ASM131497v1	GCA.000159875.2.Bact.sp.1.1.6.V2	GCA.009025475.1.ASM902547v1	GCA.015553025.1.ASM1555302v1	GCA.014131755.1.ASM1413175v1	GCA.003463095.1.ASM346309v1	GCA.015670025.1.ASM1567002v1	GCA.015556665.1.ASM1555666v1	GCA.015551275.1.ASM1555127v1	GCA.015668615.1.ASM1566861v1	GCA.015670015.1.ASM1567001v1	GCA.003472675.1.ASM347267v1	GCA.902364285.1.MGYG.HGUT.00196	GCA.003469365.1.ASM346936v1	GCA.015548485.1.ASM1554848v1	GCA.004349615.1.ASM434961v1	GCA.001406075.1.14207.7.68	GCA.015548225.1.ASM1554822v1	GCA.015551985.1.ASM1555198v1	GCA.003439845.1.ASM343984v1
GCA.015556465.1.ASM1555646v1	0	0.0106349313350618	0.0112615154960095	0.0205260438972915	0.0189251261745772	0.0203786715252983	0.0199703415582077	0.0206466563335262	0.0209146934863877	0.0209338099682808	0.0206469618783938	0.0188960335790586	0.0194932118955367	0.0209097600087435	0.0215411514225729	0.0183965410381508	0.0221483791004054	0.0239181187154171	0.0285123796114528	0.0269523164786925	0.0282152888720882	0.0286538934531149	0.0287536498368674	0.023619444150796	0.0234658632629659	0.021242338922042	0.0232142863534916	0.0285526648146021	0.0281632547741669	0.028778465164424	0.0303993421880006	0.0322381602578421	0.0321278585508241	0.0323196787620057	0.0324573317133966	0.03050773852329	0.0303621261882728	0.0289969598837181	0.0302643274965855	0.0269196334203376	0.0262526885224515	0.0279045286935824	0.0302812903457582	0.0299370192625473	0.0287360953336536	0.0288762040105369	0.0421123595477976	0.0289833056704368	0.031478148675925	0.0333546644805834
GCA.015547465.1.ASM1554746v1	0.0106349313350618	0	0.00551515154967208	0.0206686593889823	0.0190677416662681	0.0205212870169891	0.0201129570498986	0.020789271825217	0.0210573089780785	0.0210764254599717	0.0207895773700847	0.0190386490707495	0.0196358273872276	0.0210523755004343	0.0216837669142637	0.0185391565298416	0.0222909945920963	0.024060734207108	0.0286549951031436	0.0270949319703833	0.0283579043637791	0.0287965089448058	0.0288962653285583	0.0237620596424869	0.0236084787546568	0.0213849544137329	0.0233569018451824	0.0286952803062929	0.0283058702658577	0.0289210806561149	0.0305419576796914	0.032380775749533	0.032270474042515	0.0324622942536966	0.0325999472050875	0.0306503540149808	0.0305047416799636	0.029139575375409	0.0304069429882763	0.0270622489120284	0.0263953040141423	0.0280471441852733	0.030423905837449	0.0300796347542382	0.0288787108253444	0.0290188195022278	0.0422549750394885	0.0291259211621277	0.0316207641676158	0.0334972799722743
GCA.007556425.1.ASM755642v1	0.0112615154960095	0.00551515154967208	0	0.02129524354993	0.0196943258272158	0.0211478711779369	0.0207395412108463	0.0214158559861648	0.0216838931390262	0.0217030096209194	0.0214161615310324	0.0196652332316972	0.0202624115481753	0.021678959661382	0.0223103510752114	0.0191657406907893	0.022917578753044	0.0246873183680557	0.0292815792640913	0.027721516131331	0.0289844885247268	0.0294230931057535	0.029522849489506	0.0243886438034346	0.0242350629156045	0.0220115385746806	0.0239834860061301	0.0293218644672406	0.0289324544268054	0.0295476648170626	0.0311685418406391	0.0330073599104807	0.0328970582034626	0.0330888784146443	0.0332265313660352	0.0312769381759285	0.0311313258409113	0.0297661595363567	0.031033527149224	0.0276888330729761	0.02702188817509	0.028673728346221	0.0310504899983967	0.0307062189151859	0.0295052949862921	0.0296454036631755	0.0428815592004362	0.0297525053230754	0.0322473483285635	0.034123864133222
GCA.001578565.1.ASM157856v1	0.0205260438972915	0.0206686593889823	0.02129524354993	0	0.0134111418714362	0.0148646872221573	0.0144563572550667	0.0151326720303852	0.0154007091832466	0.0154198256651398	0.0151329775752528	0.0155318378959179	0.0177782259865121	0.0191947740997189	0.0198261655135483	0.0166815551291262	0.0204333931913808	0.0222031328063925	0.0267973937024282	0.0252373305696679	0.0265003029630637	0.0269389075440903	0.0270386639278428	0.0219044582417714	0.0217508773539413	0.0195273530130174	0.0232293373163265	0.028567715777437	0.0281783057370018	0.0287935161272589	0.0304143931508355	0.032253211220677	0.032142909513659	0.0323347297248406	0.0324723826762316	0.0305227894861249	0.0303771771511077	0.0290120108465531	0.0302793784594204	0.0269346843831725	0.0262677394852864	0.0279195796564173	0.0302963413085931	0.0299520702253823	0.0287511462964885	0.0288912549733718	0.0421274105106326	0.0289983566332717	0.0314931996387599	0.0333697154434183
GCA.003474005.1.ASM347400v1	0.0189251261745772	0.0190677416662681	0.0196943258272158	0.0134111418714362	0	0.00991460696082151	0.00950627699373095	0.0101825917690494	0.0104506289219109	0.010469745403804	0.0101828973139171	0.0139309201732037	0.0161773082637978	0.0175938563770046	0.018225247790834	0.0150806374064119	0.0188324754686666	0.0206022150836783	0.0251964759797139	0.0236364128469536	0.0248993852403494	0.0253379898213761	0.0254377462051286	0.0203035405190571	0.0201499596312271	0.0179264352903032	0.0216284195936122	0.0269667980547227	0.0265773880142875	0.0271925984045446	0.0288134754281212	0.0306522934979627	0.0305419917909447	0.0307338120021264	0.0308714649535173	0.0289218717634106	0.0287762594283934	0.0274110931238388	0.0286784607367061	0.0253337666604582	0.0246668217625721	0.0263186619337031	0.0286954235858788	0.028351152502668	0.0271502285737742	0.0272903372506576	0.0405264927879183	0.0273974389105575	0.0298922819160456	0.0317687977207041
GCA.001055755.1.ASM105575v1	0.0203786715252983	0.0205212870169891	0.0211478711779369	0.0148646872221573	0.00991460696082151	0	0.00114312969005856	0.00678364757168658	0.00705168472454806	0.00707080120644121	0.00678395311655424	0.0153844655239247	0.0176308536145189	0.0190474017277257	0.0196787931415551	0.016534182757133	0.0202860208193877	0.0220557604343993	0.026650021330435	0.0250899581976747	0.0263529305910705	0.0267915351720972	0.0268912915558497	0.0217570858697782	0.0216035049819482	0.0193799806410242	0.0230819649443333	0.0284203434054438	0.0280309333650086	0.0286461437552657	0.0302670207788423	0.0321058388486838	0.0319955371416658	0.0321873573528475	0.0323250103042384	0.0303754171141317	0.0302298047791145	0.0288646384745599	0.0301320060874272	0.0267873120111793	0.0261203671132932	0.0277722072844241	0.0301489689365999	0.0298046978533891	0.0286037739244953	0.0287438826013787	0.0419800381386394	0.0288509842612786	0.0313458272667667	0.0332223430714252
GCA.008329455.1.ASM832945v1	0.0199703415582077	0.0201129570498986	0.0207395412108463	0.0144563572550667	0.00950627699373095	0.00114312969005856	0	0.00637531760459603	0.0066433547574575	0.00666247123935066	0.00637562314946368	0.0149761355568342	0.0172225236474284	0.0186390717606351	0.0192704631744645	0.0161258527900425	0.0198776908522971	0.0216474304673088	0.0262416913633444	0.0246816282305841	0.0259446006239799	0.0263832052050066	0.0264829615887591	0.0213487559026877	0.0211951750148576	0.0189716506739337	0.0226736349772428	0.0280120134383532	0.027622603397918	0.0282378137881752	0.0298586908117518	0.0316975088815933	0.0315872071745753	0.0317790273857569	0.0319166803371478	0.0299670871470412	0.029821474812024	0.0284563085074693	0.0297236761203366	0.0263789820440888	0.0257120371462026	0.0273638773173336	0.0297406389695093	0.0293963678862985	0.0281954439574048	0.0283355526342881	0.0415717081715488	0.028442654294188	0.0309374972996761	0.0328140131043346
GCA.015547765.1.ASM1554776v1	0.0206466563335262	0.020789271825217	0.0214158559861648	0.0151326720303852	0.0101825917690494	0.00678364757168658	0.00637531760459603	0	0.00502732949180881	0.00504644597370197	0.00475959788381499	0.0156524503321526	0.0178988384227468	0.0193153865359536	0.019946777949783	0.0168021675653609	0.0205540056276156	0.0223237452426272	0.0269180061386629	0.0253579430059026	0.0266209153992984	0.0270595199803251	0.0271592763640776	0.0220250706780061	0.0218714897901761	0.0196479654492521	0.0233499497525612	0.0286883282136717	0.0282989181732365	0.0289141285634936	0.0305350055870702	0.0323738236569117	0.0322635219498937	0.0324553421610754	0.0325929951124663	0.0306434019223596	0.0304977895873424	0.0291326232827878	0.0303999908956551	0.0270552968194072	0.0263883519215211	0.028040192092652	0.0304169537448278	0.030072682661617	0.0288717587327232	0.0290118674096066	0.0422480229468673	0.0291189690695065	0.0316138120749946	0.0334903278796531
GCA.015831845.1.ASM1583184v1	0.0209146934863877	0.0210573089780785	0.0216838931390262	0.0154007091832466	0.0104506289219109	0.00705168472454806	0.0066433547574575	0.00502732949180881	0	0.000370739499799605	0.00293141090652982	0.0159204874850141	0.0181668755756083	0.0195834236888151	0.0202148151026445	0.0170702047182224	0.020822042780477	0.0225917823954887	0.0271860432915244	0.0256259801587641	0.0268889525521598	0.0273275571331865	0.027427313516939	0.0222931078308676	0.0221395269430375	0.0199160026021136	0.0236179869054227	0.0289563653665332	0.028566955326098	0.0291821657163551	0.0308030427399317	0.0326418608097732	0.0325315591027552	0.0327233793139368	0.0328610322653277	0.0309114390752211	0.0307658267402039	0.0294006604356493	0.0306680280485166	0.0273233339722687	0.0266563890743826	0.0283082292455135	0.0306849908976893	0.0303407198144784	0.0291397958855847	0.029279904562468	0.0425160600997288	0.0293870062223679	0.0318818492278561	0.0337583650325145
GCA.003458585.1.ASM345858v1	0.0209338099682808	0.0210764254599717	0.0217030096209194	0.0154198256651398	0.010469745403804	0.00707080120644121	0.00666247123935066	0.00504644597370197	0.000370739499799605	0	0.00295052738842298	0.0159396039669073	0.0181859920575015	0.0196025401707082	0.0202339315845376	0.0170893212001155	0.0208411592623702	0.0226108988773819	0.0272051597734175	0.0256450966406572	0.026908069034053	0.0273466736150797	0.0274464299988322	0.0223122243127608	0.0221586434249307	0.0199351190840068	0.0236371033873158	0.0289754818484263	0.0285860718079911	0.0292012821982483	0.0308221592218248	0.0326609772916664	0.0325506755846484	0.03274249579583	0.0328801487472209	0.0309305555571142	0.0307849432220971	0.0294197769175424	0.0306871445304097	0.0273424504541619	0.0266755055562757	0.0283273457274067	0.0307041073795824	0.0303598362963716	0.0291589123674778	0.0292990210443612	0.0425351765816219	0.0294061227042611	0.0319009657097492	0.0337774815144077
