GCA.009101645.1.ASM910164v1	GCA.009102325.1.ASM910232v1	GCA.009101685.1.ASM910168v1	GCA.009101725.1.ASM910172v1	GCA.009102305.1.ASM910230v1	GCA.009101505.1.ASM910150v1	GCA.009101705.1.ASM910170v1	GCA.009102145.1.ASM910214v1	GCA.009102575.1.ASM910257v1	GCA.009101535.1.ASM910153v1	GCA.015547545.1.ASM1554754v1	GCA.009102785.1.ASM910278v1	GCA.009102805.1.ASM910280v1	GCA.009101965.1.ASM910196v1	GCA.009102045.1.ASM910204v1	GCA.902374095.1.MGYG.HGUT.01345	GCA.000178215.1.ASM17821v1	GCA.009093695.1.ASM909369v1	GCA.900114865.1.IMG.taxon.2654588180.annotated.assembly	GCA.900107825.1.IMG.taxon.2623620516.annotated.assembly	GCA.015556195.1.ASM1555619v1	GCA.008710235.1.ASM871023v1	GCA.003458755.1.ASM345875v1	P20.6B	P19.A7	GCA.009102705.1.ASM910270v1	GCA.003437545.1.ASM343754v1	GCA.015553655.1.ASM1555365v1	GCA.003474645.1.ASM347464v1	GCA.003469745.1.ASM346974v1	GCA.009093775.1.ASM909377v1	GCA.003436085.1.ASM343608v1	GCA.000273315.1.Bact.xyla.CL03T12C04.V1	P21.6G	P13.H9	P14.B8	GCA.003468875.1.ASM346887v1	GCA.002161135.1.ASM216113v1	GCA.002161115.1.ASM216111v1	GCA.009102085.1.ASM910208v1	GCA.003464445.1.ASM346444v1	GCA.003474245.1.ASM347424v1	GCA.016864215.1.ASM1686421v1	GCA.015551805.1.ASM1555180v1	GCA.003473975.1.ASM347397v1	GCA.000210075.1.ASM21007v1	GCA.015559535.1.ASM1555953v1	GCA.015668785.1.ASM1566878v1	GCA.009102375.1.ASM910237v1	GCA.009102285.1.ASM910228v1
GCA.009101645.1.ASM910164v1	0	8.799839321477e-05	0.000102286883363072	9.58217158672436e-05	9.32723192747733e-05	0.000125357547181922	0.00011674355427598	0.000128078330353165	0.000116260087353905	0.0120400726494163	0.0109157036236514	0.0232696045670449	0.0231174923795678	0.0216520618331465	0.021463292644905	0.0543015764465704	0.0543562491582987	0.0570396493074858	0.0684064972846541	0.0719957505039808	0.0684848516416982	0.0655726745051405	0.0606092108672521	0.0612732863644514	0.0613046236157494	0.0607285544620999	0.0669876720735303	0.0671140664804329	0.0722465473970248	0.07244235934092	0.0710172452364487	0.0713291100616953	0.073266749200749	0.07394919077886	0.075922153687955	0.0759340056150608	0.0763029861465763	0.0747262873746261	0.0759434670307523	0.0686575932450881	0.0657097297083379	0.06239830599183	0.0449919657232071	0.0413536413310004	0.039364560539201	0.0376785388593116	0.0342594386511539	0.0213079718429954	0.000122651050525078	0.000112691229939984
GCA.009102325.1.ASM910232v1	8.799839321477e-05	0	2.02884931484766e-05	1.182332465259e-05	9.27392806011963e-06	4.13591559672681e-05	3.27451630613263e-05	4.20799381384535e-05	3.02616951391936e-05	0.0119540742572016	0.0108297052314367	0.0231836061748301	0.0230314939873531	0.0215660634409318	0.0213772942526903	0.0542155780543556	0.054270250766084	0.0569536509152711	0.0683204988924394	0.0719097521117661	0.0683988532494834	0.0654866761129258	0.0605232124750374	0.0611872879722367	0.0612186252235347	0.0606425560698852	0.0669016736813156	0.0670280680882182	0.0721605490048101	0.0723563609487053	0.070931246844234	0.0712431116694806	0.0731807508085343	0.0738631923866453	0.0758361552957403	0.0758480072228461	0.0762169877543616	0.0746402889824114	0.0758574686385376	0.0685715948528734	0.0656237313161232	0.0623123075996153	0.0449059673309924	0.0412676429387857	0.0392785621469862	0.0375925404670969	0.0341734402589392	0.0212219734507807	3.66526583103662e-05	2.66928377252719e-05
GCA.009101685.1.ASM910168v1	0.000102286883363072	2.02884931484766e-05	0	2.81118158009503e-05	2.55624192084799e-05	5.76476471156284e-05	4.90336542096866e-05	6.03684302868719e-05	4.85501872876121e-05	0.01197236274935	0.0108479937235851	0.0232018946669786	0.0230497824795015	0.0215843519330802	0.0213955827448387	0.0542338665465041	0.0542885392582324	0.0569719394074195	0.0683387873845878	0.0719280406039145	0.0684171417416319	0.0655049646050742	0.0605415009671858	0.0612055764643851	0.0612369137156831	0.0606608445620336	0.066919962173464	0.0670463565803666	0.0721788374969585	0.0723746494408537	0.0709495353363824	0.071261400161629	0.0731990393006827	0.0738814808787937	0.0758544437878887	0.0758662957149945	0.07623527624651	0.0746585774745598	0.075875757130686	0.0685898833450218	0.0656420198082717	0.0623305960917637	0.0449242558231408	0.0412859314309341	0.0392968506391347	0.0376108289592453	0.0341917287510876	0.0212402619429291	5.49411504587847e-05	4.49813298736904e-05
GCA.009101725.1.ASM910172v1	9.58217158672436e-05	1.182332465259e-05	2.81118158009503e-05	0	1.30972487124769e-05	4.51824766196254e-05	3.85684847137417e-05	5.19032617909853e-05	4.00850187917254e-05	0.0119638975808541	0.0108395285550892	0.0231934294984827	0.0230413173110056	0.0215758867645843	0.0213871175763428	0.0542254013780082	0.0542800740897366	0.0569634742389237	0.0683303222160919	0.0719195754354186	0.068408676573136	0.0654964994365783	0.0605330357986899	0.0611971112958893	0.0612284485471872	0.0606523793935377	0.0669114970049682	0.0670378914118707	0.0721703723284626	0.0723661842723578	0.0709410701678865	0.0712529349931331	0.0731905741321868	0.0738730157102978	0.0758459786193929	0.0758578305464986	0.0762268110780141	0.0746501123060639	0.0758672919621901	0.0685814181765259	0.0656335546397758	0.0623221309232678	0.0449157906546449	0.0412774662624382	0.0392883854706388	0.0376023637907494	0.0341832635825917	0.0212317967744332	4.6475981962898e-05	3.65161613778037e-05
GCA.009102305.1.ASM910230v1	9.32723192747733e-05	9.27392806011963e-06	2.55624192084799e-05	1.30972487124769e-05	0	4.00852319073812e-05	3.60190881212714e-05	4.93538651985149e-05	3.7535622199255e-05	0.0119613481842617	0.0108369791584968	0.0231908801018902	0.0230387679144132	0.0215733373679919	0.0213845681797504	0.0542228519814157	0.0542775246931441	0.0569609248423312	0.0683277728194994	0.0719170260388261	0.0684061271765435	0.0654939500399859	0.0605304864020974	0.0611945618992968	0.0612258991505948	0.0606498299969452	0.0669089476083757	0.0670353420152782	0.0721678229318701	0.0723636348757654	0.070938520771294	0.0712503855965406	0.0731880247355944	0.0738704663137053	0.0758434292228004	0.0758552811499062	0.0762242616814217	0.0746475629094715	0.0758647425655977	0.0685788687799335	0.0656310052431833	0.0623195815266753	0.0449132412580524	0.0412749168658457	0.0392858360740463	0.037599814394157	0.0341807141859993	0.0212292473778407	4.39265853704276e-05	3.39667647853334e-05
GCA.009101505.1.ASM910150v1	0.000125357547181922	4.13591559672681e-05	5.76476471156284e-05	4.51824766196254e-05	4.00852319073812e-05	0	6.81043160284198e-05	8.14390931056634e-05	6.96208501064035e-05	0.0119934334121688	0.0108690643864039	0.0232229653297974	0.0230708531423203	0.021605422595899	0.0214166534076575	0.0542549372093229	0.0543096099210512	0.0569930100702383	0.0683598580474066	0.0719491112667333	0.0684382124044507	0.065526035267893	0.0605625716300046	0.0612266471272039	0.0612579843785019	0.0606819152248524	0.0669410328362828	0.0670674272431854	0.0721999081597773	0.0723957201036725	0.0709706059992012	0.0712824708244478	0.0732201099635015	0.0739025515416125	0.0758755144507075	0.0758873663778133	0.0762563469093288	0.0746796481373786	0.0758968277935048	0.0686109540078406	0.0656630904710904	0.0623516667545825	0.0449453264859596	0.0413070020937529	0.0393179213019535	0.0376318996220641	0.0342127994139064	0.0212613326057479	7.60118132775761e-05	6.60519926924819e-05
GCA.009101705.1.ASM910170v1	0.00011674355427598	3.27451630613263e-05	4.90336542096866e-05	3.85684847137417e-05	3.60190881212714e-05	6.81043160284198e-05	0	7.28251001997216e-05	6.10068572004617e-05	0.0119848194192629	0.010860450393498	0.0232143513368914	0.0230622391494144	0.0215968086029931	0.0214080394147516	0.0542463232164169	0.0543009959281453	0.0569843960773324	0.0683512440545006	0.0719404972738273	0.0684295984115447	0.0655174212749871	0.0605539576370987	0.061218033134298	0.061249370385596	0.0606733012319464	0.0669324188433769	0.0670588132502794	0.0721912941668713	0.0723871061107666	0.0709619920062952	0.0712738568315418	0.0732114959705956	0.0738939375487065	0.0758669004578016	0.0758787523849074	0.0762477329164229	0.0746710341444727	0.0758882138005989	0.0686023400149347	0.0656544764781845	0.0623430527616765	0.0449367124930536	0.0412983881008469	0.0393093073090475	0.0376232856291582	0.0342041854210005	0.0212527186128419	6.73978203716343e-05	5.743799978654e-05
GCA.009102145.1.ASM910214v1	0.000128078330353165	4.20799381384535e-05	6.03684302868719e-05	5.19032617909853e-05	4.93538651985149e-05	8.14390931056634e-05	7.28251001997216e-05	0	6.83416312775307e-05	0.0119921541933399	0.010867785167575	0.0232216861109685	0.0230695739234914	0.0216041433770702	0.0214153741888286	0.054253657990494	0.0543083307022224	0.0569917308514095	0.0683585788285777	0.0719478320479044	0.0684369331856218	0.0655247560490642	0.0605612924111757	0.0612253679083751	0.0612567051596731	0.0606806360060235	0.066939753617454	0.0670661480243565	0.0721986289409484	0.0723944408848436	0.0709693267803723	0.0712811916056189	0.0732188307446726	0.0739012723227836	0.0758742352318787	0.0758860871589844	0.0762550676904999	0.0746783689185497	0.075895548574676	0.0686096747890118	0.0656618112522616	0.0623503875357536	0.0449440472671307	0.041305722874924	0.0393166420831246	0.0376306204032353	0.0342115201950775	0.021260053386919	7.47325944487033e-05	6.4772773863609e-05
GCA.009102575.1.ASM910257v1	0.000116260087353905	3.02616951391936e-05	4.85501872876121e-05	4.00850187917254e-05	3.7535622199255e-05	6.96208501064035e-05	6.10068572004617e-05	6.83416312775307e-05	0	0.0119763359483406	0.0108519669225757	0.0232058678659691	0.0230537556784921	0.0215883251320708	0.0213995559438293	0.0542378397454946	0.054292512457223	0.0569759126064101	0.0683427605835783	0.071932013802905	0.0684211149406224	0.0655089378040648	0.0605454741661764	0.0612095496633757	0.0612408869146737	0.0606648177610241	0.0669239353724546	0.0670503297793571	0.072182810695949	0.0723786226398443	0.0709535085353729	0.0712653733606195	0.0732030124996733	0.0738854540777842	0.0758584169868793	0.0758702689139851	0.0762392494455006	0.0746625506735504	0.0758797303296766	0.0685938565440124	0.0656459930072622	0.0623345692907542	0.0449282290221313	0.0412899046299246	0.0393008238381252	0.0376148021582359	0.0341957019500782	0.0212442351419196	5.89143494493271e-05	4.89545288642328e-05
GCA.009101535.1.ASM910153v1	0.0120400726494163	0.0119540742572016	0.01197236274935	0.0119638975808541	0.0119613481842617	0.0119934334121688	0.0119848194192629	0.0119921541933399	0.0119763359483406	0	0.00334427734878854	0.0213185661201298	0.0211664539326527	0.0197010233862314	0.0195122541979899	0.0523505379996553	0.0524052107113836	0.0550886108605708	0.066455458837739	0.0700447120570657	0.0665338131947831	0.0636216360582254	0.058658172420337	0.0593222479175364	0.0593535851688343	0.0587775160151848	0.0650366336266152	0.0651630280335178	0.0702955089501097	0.0704913208940049	0.0690662067895336	0.0693780716147802	0.0713157107538339	0.0719981523319449	0.0739711152410399	0.0739829671681457	0.0743519476996612	0.072775248927711	0.0739924285838372	0.066706554798173	0.0637586912614229	0.0604472675449149	0.043040927276292	0.0394026028840853	0.0374135220922859	0.0357275004123965	0.0323084002042388	0.0193569333960803	0.0119767269085116	0.0119687670889265
