iso1	iso2	tree_dist	bray_curtis	comp	host.iso1	sample.iso1	taxonomy_Species.iso1	host.iso2	sample.iso2	taxonomy_Species.iso2
GCA.015831805.1.ASM1583180v1	GCA.003470645.1.ASM347064v1	0.007728796795023634	0.14743033458682867	GCA.015831805.1.ASM1583180v1_GCA.003470645.1.ASM347064v1	chicken	SAMN15915570	Bacteroides_ovatus	human	SAMN09734853	Bacteroides_ovatus
GCA.003474465.1.ASM347446v1	GCA.003470645.1.ASM347064v1	0.004501234682880678	0.18943356085453417	GCA.003474465.1.ASM347446v1_GCA.003470645.1.ASM347064v1	human	SAMN09734718	Bacteroides_ovatus	human	SAMN09734853	Bacteroides_ovatus
GCA.003612665.1.ASM361266v1	GCA.003470645.1.ASM347064v1	0.004849093371300057	0.11241561491047843	GCA.003612665.1.ASM361266v1_GCA.003470645.1.ASM347064v1	mouse	SAMN10024786	Bacteroides_ovatus	human	SAMN09734853	Bacteroides_ovatus
GCA.003439865.1.ASM343986v1	GCA.003470645.1.ASM347064v1	0.006204933177646205	0.1053423626787058	GCA.003439865.1.ASM343986v1_GCA.003470645.1.ASM347064v1	human	SAMN09736714	Bacteroides_ovatus	human	SAMN09734853	Bacteroides_ovatus
GCA.013361135.1.ASM1336113v1	GCA.003470645.1.ASM347064v1	0.02618751929650433	0.24915486523526725	GCA.013361135.1.ASM1336113v1_GCA.003470645.1.ASM347064v1	human	SAMN14408544	Bacteroides_ovatus	human	SAMN09734853	Bacteroides_ovatus
GCA.005844895.1.ASM584489v1	GCA.003470645.1.ASM347064v1	0.026489898792119042	0.24597069597069596	GCA.005844895.1.ASM584489v1_GCA.003470645.1.ASM347064v1	human	SAMN10863225	Bacteroides_ovatus	human	SAMN09734853	Bacteroides_ovatus
GCA.001405735.1.14207.7.66	GCA.003470645.1.ASM347064v1	0.027716454919992327	0.19061639281983095	GCA.001405735.1.14207.7.66_GCA.003470645.1.ASM347064v1	human	SAMEA3545406	Bacteroides_ovatus	human	SAMN09734853	Bacteroides_ovatus
GCA.003458305.1.ASM345830v1	GCA.003470645.1.ASM347064v1	0.027375968264434582	0.2038222646918299	GCA.003458305.1.ASM345830v1_GCA.003470645.1.ASM347064v1	human	SAMN09734511	Bacteroides_ovatus	human	SAMN09734853	Bacteroides_ovatus
GCA.003472085.1.ASM347208v1	GCA.003470645.1.ASM347064v1	0.02752533592306308	0.22016712045817294	GCA.003472085.1.ASM347208v1_GCA.003470645.1.ASM347064v1	human	SAMN09734812	Bacteroides_ovatus	human	SAMN09734853	Bacteroides_ovatus
GCA.003472925.1.ASM347292v1	GCA.003470645.1.ASM347064v1	0.02676246449843609	0.2532196626156358	GCA.003472925.1.ASM347292v1_GCA.003470645.1.ASM347064v1	human	SAMN09734702	Bacteroides_ovatus	human	SAMN09734853	Bacteroides_ovatus
GCA.003468975.1.ASM346897v1	GCA.003470645.1.ASM347064v1	0.026819005158680676	0.22680795686930658	GCA.003468975.1.ASM346897v1_GCA.003470645.1.ASM347064v1	human	SAMN09736408	Bacteroides_ovatus	human	SAMN09734853	Bacteroides_ovatus
GCA.005844955.1.ASM584495v1	GCA.003470645.1.ASM347064v1	0.027483874592137355	0.2239284032030146	GCA.005844955.1.ASM584495v1_GCA.003470645.1.ASM347064v1	human	SAMN10863220	Bacteroides_ovatus	human	SAMN09734853	Bacteroides_ovatus
GCA.005844935.1.ASM584493v1	GCA.003470645.1.ASM347064v1	0.027077370596115282	0.23826378539493293	GCA.005844935.1.ASM584493v1_GCA.003470645.1.ASM347064v1	human	SAMN10863221	Bacteroides_ovatus	human	SAMN09734853	Bacteroides_ovatus
GCA.015557725.1.ASM1555772v1	GCA.003470645.1.ASM347064v1	0.040003307002274315	0.2978347737199145	GCA.015557725.1.ASM1555772v1_GCA.003470645.1.ASM347064v1	human	SAMN15532753	Bacteroides_ovatus	human	SAMN09734853	Bacteroides_ovatus
GCA.000699665.1.ASM69966v1	GCA.003470645.1.ASM347064v1	0.04192616281126976	0.3254469929564746	GCA.000699665.1.ASM69966v1_GCA.003470645.1.ASM347064v1	human	SAMN02370948	Bacteroides_ovatus	human	SAMN09734853	Bacteroides_ovatus
GCA.015550085.1.ASM1555008v1	GCA.003470645.1.ASM347064v1	0.072094691774136	0.343484680693983	GCA.015550085.1.ASM1555008v1_GCA.003470645.1.ASM347064v1	human	SAMN15532582	Bacteroides_ovatus	human	SAMN09734853	Bacteroides_ovatus
GCA.015548845.1.ASM1554884v1	GCA.003470645.1.ASM347064v1	0.07042712088291905	0.3049348673576115	GCA.015548845.1.ASM1554884v1_GCA.003470645.1.ASM347064v1	human	SAMN15533334	Bacteroides_ovatus	human	SAMN09734853	Bacteroides_ovatus
GCA.015554355.1.ASM1555435v1	GCA.003470645.1.ASM347064v1	0.06070685977754972	0.3309964069757252	GCA.015554355.1.ASM1555435v1_GCA.003470645.1.ASM347064v1	human	SAMN15532999	Bacteroides_ovatus	human	SAMN09734853	Bacteroides_ovatus
GCA.015555955.1.ASM1555595v1	GCA.003470645.1.ASM347064v1	0.06526801553356133	0.30522456461961506	GCA.015555955.1.ASM1555595v1_GCA.003470645.1.ASM347064v1	human	SAMN15532494	Bacteroides_ovatus	human	SAMN09734853	Bacteroides_ovatus
GCA.015552185.1.ASM1555218v1	GCA.003470645.1.ASM347064v1	0.06487474790459323	0.33891975589762274	GCA.015552185.1.ASM1555218v1_GCA.003470645.1.ASM347064v1	human	SAMN15533080	Bacteroides_ovatus	human	SAMN09734853	Bacteroides_ovatus
