isolate	sample	host_site	site	host	genus_sp	classification	taxonomy_Genus	taxonomy_Species	Completeness	Contamination	GC	GC std	Genome.size	# ambiguous bases	# scaffolds	# contigs	Longest scaffold	Longest contig	N50 (scaffolds)	N50 (contigs)	Mean scaffold length	Mean contig length	Coding density	Translation table	predicted.genes	percent_mapped	coverage_mean	coverage_std	dataset	isolation_source	infection_status	included_analysis	isolate_old
P18.A7	COL_Bonobo08	bonobo_Columbus_Zoo	Columbus_Zoo	bonobo	Pan_paniscus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	Bacteroides	Bacteroides_ovatus	99.46062567421791	0	0.4167415656478017	0.02289474087772421	6419759	1	37	37	701775	701775	331480	331480	173507	173506.97297297296	0.9053707467834852	11	5065	99.229	67.454	21.489	isolate_genomes	stool	FALSE	1	P18-A7
P18.D7	COL_Bonobo08	bonobo_Columbus_Zoo	Columbus_Zoo	bonobo	Pan_paniscus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	Bacteroides	Bacteroides_ovatus	99.46062567421791	0	0.41675420802382185	0.020921809169075448	6416970	3	35	35	704847	704846	327939	327939	183342	183341.91428571427	0.9054740788876994	11	5057	99.054	42.066	12.685	isolate_genomes	stool	FALSE	1	P18-D7
P18.G7	COL_Bonobo08	bonobo_Columbus_Zoo	Columbus_Zoo	bonobo	Pan_paniscus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	Bacteroides	Bacteroides_ovatus	99.46062567421791	0	0.41674199862447453	0.025635278674185028	6419366	1	38	38	702592	702592	370467	370467	168930.68421052632	168930.65789473685	0.9057713799150882	11	5070	99.321	71.318	17.707	isolate_genomes	stool	FALSE	1	P18-G7
P19.10A	COL_Gorilla02	gorilla_Columbus_Zoo	Columbus_Zoo	gorilla	Gorilla_gorilla_gorilla	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens	Bacteroides	Bacteroides_xylanisolvens	99.46062567421791	0.6580366774541532	0.416866950573917	0.02068302581971759	5888311	3	59	59	693275	693275	171372	171372	99801.8813559322	99801.83050847458	0.9035183433755453	11	4629	98.817	103.511	25.301	isolate_genomes	stool	FALSE	1	P19-10A
GCA.001314995.1.ASM131499v1	SAMN03852683	human_USA:Woods Hole	USA:Woods Hole	human	Homo sapiens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	Bacteroides	Bacteroides_ovatus	99.46062567421791	0.12135922330097088	0.418787270244878	0	6472489	0	1	1	6472489	6472489	6472489	6472489	6472489	6472489	0.9077161815184236	11	4916	NA	NA	NA	ncbi_genomes	stool	FALSE	1	GCA_001314995.1_ASM131499v1
GCA.007012325.1.ASM701232v1	SAMN12137645	human_USA:Baltimore	USA:Baltimore	human	Homo sapiens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	Bacteroides	Bacteroides_ovatus	99.46062567421791	0.040453074433656956	0.4226260053867429	0.05998575106315134	7239254	0	4	4	7079631	7079631	7079631	7079631	1809813.5	1809813.5	0.9022951812438132	11	5975	NA	NA	NA	ncbi_genomes	stool	FALSE	1	GCA_007012325.1_ASM701232v1
GCA.009734165.1.ASM973416v1	SAMN11056448	human_USA:VA	USA:VA	human	Homo sapiens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	Bacteroides	Bacteroides_ovatus	99.46062567421791	0	0.4197830535752547	0	6571392	0	1	1	6571392	6571392	6571392	6571392	6571392	6571392	0.9088973842984865	11	5081	NA	NA	NA	ncbi_genomes	colon	FALSE	1	GCA_009734165.1_ASM973416v1
GCA.900095495.1.B.ovatus.V975	SAMEA4392618	human_missing	missing	human	Homo sapiens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	Bacteroides	Bacteroides_ovatus	98.99676375404529	0.12135922330097088	0.41881761080883406	0	6475296	0	1	1	6475296	6475296	6475296	6475296	6475296	6475296	0.9067264260969692	11	4995	NA	NA	NA	ncbi_genomes	colon	FALSE	1	GCA_900095495.1_B_ovatus_V975
GCA.900445505.1.50450.E01	SAMEA4384067	missing_China:Qingjian, Shaanxi province	China:Qingjian, Shaanxi province	missing	missing	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	Bacteroides	Bacteroides_ovatus	99.46062567421791	0.7686084142394822	0.4178005498699874	0.03288517424520043	6707040	0	11	11	6491739	6491739	6491739	6491739	609730.9090909091	609730.9090909091	0.9060892733605287	11	5183	NA	NA	NA	ncbi_genomes	missing	FALSE	1	GCA_900445505.1_50450_E01
GCA.002959635.1.ASM295963v1	SAMN08570052	missing_missing	missing	missing	missing	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	Bacteroides	Bacteroides_ovatus	99.19093851132686	2.4352750809061487	0.41819300117272695	0.02327145776069464	6724498	0	21	21	5913077	5913077	5913077	5913077	320214.1904761905	320214.1904761905	0.9027438182002582	11	5223	NA	NA	NA	ncbi_genomes	missing	FALSE	1	GCA_002959635.1_ASM295963v1
