iso1	iso2	tree_dist	bray_curtis	comp	host.iso1	sample.iso1	taxonomy_Species.iso1	host.iso2	sample.iso2	taxonomy_Species.iso2
GCA.015547465.1.ASM1554746v1	GCA.015556465.1.ASM1555646v1	0.01063493133506179	0.20889409011117613	GCA.015547465.1.ASM1554746v1_GCA.015556465.1.ASM1555646v1	human	SAMN15533274	Bacteroides_thetaiotaomicron	human	SAMN15532963	Bacteroides_thetaiotaomicron
GCA.007556425.1.ASM755642v1	GCA.015556465.1.ASM1555646v1	0.011261515496009497	0.22263717322608445	GCA.007556425.1.ASM755642v1_GCA.015556465.1.ASM1555646v1	human	SAMN10476872	Bacteroides_thetaiotaomicron	human	SAMN15532963	Bacteroides_thetaiotaomicron
GCA.001578565.1.ASM157856v1	GCA.015556465.1.ASM1555646v1	0.020526043897291475	0.20351966873706004	GCA.001578565.1.ASM157856v1_GCA.015556465.1.ASM1555646v1	human	SAMN04324905	Bacteroides_thetaiotaomicron	human	SAMN15532963	Bacteroides_thetaiotaomicron
GCA.003474005.1.ASM347400v1	GCA.015556465.1.ASM1555646v1	0.0189251261745772	0.22701616760738544	GCA.003474005.1.ASM347400v1_GCA.015556465.1.ASM1555646v1	human	SAMN09734716	Bacteroides_thetaiotaomicron	human	SAMN15532963	Bacteroides_thetaiotaomicron
GCA.001055755.1.ASM105575v1	GCA.015556465.1.ASM1555646v1	0.020378671525298292	0.2199389623601221	GCA.001055755.1.ASM105575v1_GCA.015556465.1.ASM1555646v1	human	SAMN03197381	Bacteroides_thetaiotaomicron	human	SAMN15532963	Bacteroides_thetaiotaomicron
GCA.008329455.1.ASM832945v1	GCA.015556465.1.ASM1555646v1	0.019970341558207733	0.22018990504747626	GCA.008329455.1.ASM832945v1_GCA.015556465.1.ASM1555646v1	mouse	SAMN12001427	Bacteroides_thetaiotaomicron	human	SAMN15532963	Bacteroides_thetaiotaomicron
GCA.015547765.1.ASM1554776v1	GCA.015556465.1.ASM1555646v1	0.020646656333526192	0.19728029226709964	GCA.015547765.1.ASM1554776v1_GCA.015556465.1.ASM1555646v1	human	SAMN15532570	Bacteroides_thetaiotaomicron	human	SAMN15532963	Bacteroides_thetaiotaomicron
GCA.015831845.1.ASM1583184v1	GCA.015556465.1.ASM1555646v1	0.020914693486387657	0.17829942618675013	GCA.015831845.1.ASM1583184v1_GCA.015556465.1.ASM1555646v1	chicken	SAMN15915567	Bacteroides_thetaiotaomicron	human	SAMN15532963	Bacteroides_thetaiotaomicron
GCA.003458585.1.ASM345858v1	GCA.015556465.1.ASM1555646v1	0.020933809968280818	0.1690700104493208	GCA.003458585.1.ASM345858v1_GCA.015556465.1.ASM1555646v1	human	SAMN09734465	Bacteroides_thetaiotaomicron	human	SAMN15532963	Bacteroides_thetaiotaomicron
GCA.001405255.1.13414.6.57	GCA.015556465.1.ASM1555646v1	0.020646961878393846	0.1928850503804236	GCA.001405255.1.13414.6.57_GCA.015556465.1.ASM1555646v1	human	SAMEA3545281	Bacteroides_thetaiotaomicron	human	SAMN15532963	Bacteroides_thetaiotaomicron
GCA.001049535.1.3731	GCA.015556465.1.ASM1555646v1	0.018896033579058603	0.2661707937105734	GCA.001049535.1.3731_GCA.015556465.1.ASM1555646v1	human	SAMEA3334961	Bacteroides_thetaiotaomicron	human	SAMN15532963	Bacteroides_thetaiotaomicron
GCA.003464695.1.ASM346469v1	GCA.015556465.1.ASM1555646v1	0.019493211895536714	0.19685521748008986	GCA.003464695.1.ASM346469v1_GCA.015556465.1.ASM1555646v1	human	SAMN09734252	Bacteroides_thetaiotaomicron	human	SAMN15532963	Bacteroides_thetaiotaomicron
GCA.003463855.1.ASM346385v1	GCA.015556465.1.ASM1555646v1	0.020909760008743478	0.2455508898220356	GCA.003463855.1.ASM346385v1_GCA.015556465.1.ASM1555646v1	human	SAMN09736625	Bacteroides_thetaiotaomicron	human	SAMN15532963	Bacteroides_thetaiotaomicron
GCA.003474715.1.ASM347471v1	GCA.015556465.1.ASM1555646v1	0.021541151422572867	0.24242424242424243	GCA.003474715.1.ASM347471v1_GCA.015556465.1.ASM1555646v1	human	SAMN09734658	Bacteroides_thetaiotaomicron	human	SAMN15532963	Bacteroides_thetaiotaomicron
GCA.003472055.1.ASM347205v1	GCA.015556465.1.ASM1555646v1	0.01839654103815079	0.20153431474186193	GCA.003472055.1.ASM347205v1_GCA.015556465.1.ASM1555646v1	human	SAMN09734814	Bacteroides_thetaiotaomicron	human	SAMN15532963	Bacteroides_thetaiotaomicron
