Gene	copynum_iso1	copynum_iso2	iso1	iso2	diff	copy_diff	mrca	MRCA_iso1	MRCA_iso2	geneGainLoss	Gene.ID	contig	name	rank	is_dup	cluster_size	comp
group_4503	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02096	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11104	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02035	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11105	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02038	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11106	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02039	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11107	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02040	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11108	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02041	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
glaB_2	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02057	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11123	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02058	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11124	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02059	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
glcC	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02101	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
