isolate	sample	host_site	site	host	genus_sp	classification	taxonomy_Genus	taxonomy_Species	Completeness	Contamination	GC	GC std	Genome.size	# ambiguous bases	# scaffolds	# contigs	Longest scaffold	Longest contig	N50 (scaffolds)	N50 (contigs)	Mean scaffold length	Mean contig length	Coding density	Translation table	predicted.genes	percent_mapped	coverage_mean	coverage_std	dataset	isolation_source	infection_status	included_analysis	isolate_old
GCA.001286525.1.BFBE1.1	SAMEA3501569	missing_missing	missing	missing	missing	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	Bacteroides	Bacteroides_fragilis	99.25650557620818	0	0.4309083098813309	0	5188967	0	1	1	5188967	5188967	5188967	5188967	5188967	5188967	0.887212233186297	11	4224	NA	NA	NA	ncbi_genomes	saliva	FALSE	1	GCA_001286525.1_BFBE1.1
GCA.001314995.1.ASM131499v1	SAMN03852683	human_USA:Woods Hole	USA:Woods Hole	human	Homo sapiens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	Bacteroides	Bacteroides_ovatus	99.46062567421791	0.12135922330097088	0.418787270244878	0	6472489	0	1	1	6472489	6472489	6472489	6472489	6472489	6472489	0.9077161815184236	11	4916	NA	NA	NA	ncbi_genomes	stool	FALSE	1	GCA_001314995.1_ASM131499v1
GCA.014131755.1.ASM1413175v1	SAMN11776005	human_not determined	not determined	human	Homo sapiens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	Bacteroides	Bacteroides_thetaiotaomicron	99.41439358915088	0.4045307443365696	0.4287600332032982	0.03085412674907327	6304193	0	2	2	6271157	6271157	6271157	6271157	3152096.5	3152096.5	0.8979103273012105	11	4930	NA	NA	NA	ncbi_genomes	missing	FALSE	1	GCA_014131755.1_ASM1413175v1
GCA.015551805.1.ASM1555180v1	SAMN15532738	human_USA	USA	human	Homo sapiens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens	Bacteroides	Bacteroides_xylanisolvens	99.13700107874865	0.4045307443365696	0.4211530684263895	0.03872908130328723	6425694	1652	125	136	348976	348976	101999	99428	51405.552	47235.60294117647	0.8962452927263577	11	5291	NA	NA	NA	ncbi_genomes	stool	FALSE	1	GCA_015551805.1_ASM1555180v1
GCA.016864215.1.ASM1686421v1	SAMN13118627	human_Norway:Oslo	Norway:Oslo	human	Homo sapiens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens	Bacteroides	Bacteroides_xylanisolvens	99.13700107874865	0.16181229773462782	0.4221555147023414	0.022927935837785834	6644928	0	5	5	6570539	6570539	6570539	6570539	1328985.6	1328985.6	0.8930679158600364	11	5385	NA	NA	NA	ncbi_genomes	missing	FALSE	1	GCA_016864215.1_ASM1686421v1
GCA.000011065.1.ASM1106v1	SAMN02604314	missing_missing	missing	missing	missing	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	Bacteroides	Bacteroides_thetaiotaomicron	99.41439358915088	0.4045307443365696	0.42860289010755553	0.03096642849506958	6293399	0	2	2	6260361	6260361	6260361	6260361	3146699.5	3146699.5	0.8976551462889927	11	4944	NA	NA	NA	ncbi_genomes	stool	FALSE	1	GCA_000011065.1_ASM1106v1
GCA.007012325.1.ASM701232v1	SAMN12137645	human_USA:Baltimore	USA:Baltimore	human	Homo sapiens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	Bacteroides	Bacteroides_ovatus	99.46062567421791	0.040453074433656956	0.4226260053867429	0.05998575106315134	7239254	0	4	4	7079631	7079631	7079631	7079631	1809813.5	1809813.5	0.9022951812438132	11	5975	NA	NA	NA	ncbi_genomes	stool	FALSE	1	GCA_007012325.1_ASM701232v1
GCA.005706655.1.ASM570665v1	SAMN11040710	human_United Kingdom:London	United Kingdom:London	human	Homo sapiens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	Bacteroides	Bacteroides_fragilis	99.25650557620818	0	0.4311429532404893	0.07691303469602469	5241693	0	2	2	5205133	5205133	5205133	5205133	2620846.5	2620846.5	0.8898319684117326	11	4349	NA	NA	NA	ncbi_genomes	appendix	FALSE	1	GCA_005706655.1_ASM570665v1
GCA.009734165.1.ASM973416v1	SAMN11056448	human_USA:VA	USA:VA	human	Homo sapiens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	Bacteroides	Bacteroides_ovatus	99.46062567421791	0	0.4197830535752547	0	6571392	0	1	1	6571392	6571392	6571392	6571392	6571392	6571392	0.9088973842984865	11	5081	NA	NA	NA	ncbi_genomes	colon	FALSE	1	GCA_009734165.1_ASM973416v1
GCA.001314975.1.ASM131497v1	SAMN03852684	human_USA:Woods Hole	USA:Woods Hole	human	Homo sapiens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	Bacteroides	Bacteroides_thetaiotaomicron	99.41439358915088	0.24271844660194175	0.42690697837518315	0	6487685	0	1	1	6487685	6487685	6487685	6487685	6487685	6487685	0.8953709990543622	11	5077	NA	NA	NA	ncbi_genomes	stool	FALSE	1	GCA_001314975.1_ASM131497v1
GCA.006546965.1.ASM654696v1	SAMN12137749	human_USA:Seattle	USA:Seattle	human	Homo sapiens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens	Bacteroides	Bacteroides_xylanisolvens	99.46062567421791	0	0.41817730555489796	0.06054027340556144	6547285	0	3	3	6499434	6499434	6499434	6499434	2182428.3333333335	2182428.3333333335	0.8961259514439955	11	5254	NA	NA	NA	ncbi_genomes	stool	FALSE	1	GCA_006546965.1_ASM654696v1
GCA.008710235.1.ASM871023v1	SAMN12788007	human_USA:Seattle	USA:Seattle	human	Homo sapiens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens	Bacteroides	Bacteroides_xylanisolvens	99.46062567421791	0.8414239482200647	0.41803340005072226	0.04139409526949177	6576996	0	78	78	722722	722722	327376	327376	84320.46153846153	84320.46153846153	0.8891706791367974	11	5327	NA	NA	NA	ncbi_genomes	stool	FALSE	1	GCA_008710235.1_ASM871023v1
GCA.016117715.1.ASM1611771v1	SAMN13450465	missing_Not applicable	Not applicable	missing	missing	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	Bacteroides	Bacteroides_thetaiotaomicron	99.29881337648328	0.08090614886731391	0.42904262673311255	0.008922421408480563	6218897	100	2	2	6216145	6216045	6216145	6216045	3109448.5	3109398.5	0.8984832840936262	11	4797	NA	NA	NA	ncbi_genomes	missing	FALSE	1	GCA_016117715.1_ASM1611771v1
GCA.900095495.1.B.ovatus.V975	SAMEA4392618	human_missing	missing	human	Homo sapiens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	Bacteroides	Bacteroides_ovatus	98.99676375404529	0.12135922330097088	0.41881761080883406	0	6475296	0	1	1	6475296	6475296	6475296	6475296	6475296	6475296	0.9067264260969692	11	4995	NA	NA	NA	ncbi_genomes	colon	FALSE	1	GCA_900095495.1_B_ovatus_V975
