Gene	Annotation	P21.11A	P21.6E	P14.E4	representative	cat	group	phylalist	orderlist	genuslist	specieslist
group_7689	IS4 family transposase ISCARN93	FPPGKPMM_01517	KFKNDGEA_00366	BKHAPHKO_03013	BKHAPHKO_03013	multigenus	Bacteroidales	Bacteroidetes	Bacteroidales	Bacteroides, Prevotella	ovatus, sp., xylanisolvens, marseillensis
group_16986	hypothetical protein	FPPGKPMM_01515	KFKNDGEA_00364	BKHAPHKO_03015	BKHAPHKO_03015	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecigallinarum, finegoldii, ovatus, sp.
group_16987	hypothetical protein	FPPGKPMM_01516	KFKNDGEA_00365	BKHAPHKO_03014	BKHAPHKO_03014	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus
group_16988	hypothetical protein	FPPGKPMM_01518	KFKNDGEA_00367	BKHAPHKO_03012	BKHAPHKO_03012	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecigallinarum, ovatus, sp.
group_16989	hypothetical protein	FPPGKPMM_01522	KFKNDGEA_00370	BKHAPHKO_03008	BKHAPHKO_03008	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_7690	hypothetical protein	FPPGKPMM_01521	KFKNDGEA_00369	BKHAPHKO_03009	BKHAPHKO_03009	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
group_16973	N-acetylglucosamine-6-O-sulfatase	FPPGKPMM_01472	KFKNDGEA_00343	BKHAPHKO_03060	BKHAPHKO_03060	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., thetaiotaomicron, xylanisolvens
rcsC_28	Sensor histidine kinase RcsC	FPPGKPMM_01496	KFKNDGEA_00358	BKHAPHKO_03036	BKHAPHKO_03036	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	acidifaciens, finegoldii, ovatus, sp., thetaiotaomicron, xylanisolvens
group_16984	hypothetical protein	FPPGKPMM_01497	KFKNDGEA_00359	BKHAPHKO_03035	BKHAPHKO_03035	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	finegoldii, ovatus, thetaiotaomicron
glaB_2	Alpha-1,3-galactosidase B	FPPGKPMM_01498	KFKNDGEA_00360	BKHAPHKO_03034	BKHAPHKO_03034	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	acidifaciens, finegoldii, ovatus, sp., thetaiotaomicron, xylanisolvens
group_20295	hypothetical protein	FPPGKPMM_04552	KFKNDGEA_00315	BKHAPHKO_00579	BKHAPHKO_00579	unclassified	Bacteroides_sp.	Bacteroidetes	Bacteroidales	Bacteroides	sp.
group_20296	hypothetical protein	FPPGKPMM_04551	KFKNDGEA_00314	BKHAPHKO_00578	BKHAPHKO_00578	unclassified	Bacteroides_sp.	Bacteroidetes	Bacteroidales	Bacteroides	sp.
group_20297	hypothetical protein	FPPGKPMM_04550	KFKNDGEA_00313	BKHAPHKO_00577	BKHAPHKO_00577	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	sp., thetaiotaomicron
group_20298	hypothetical protein	FPPGKPMM_04549	KFKNDGEA_00312	BKHAPHKO_00576	BKHAPHKO_00576	unclassified	Bacteroides_sp.	Bacteroidetes	Bacteroidales	Bacteroides	sp.
