iso1	iso2	tree_dist	bray_curtis	comp	host.iso1	sample.iso1	taxonomy_Species.iso1	host.iso2	sample.iso2	taxonomy_Species.iso2
GCA.000598765.2.ASM59876v2	GCA.000598305.1.ASM59830v1	0.006653278165304394	0.18418000463929482	GCA.000598765.2.ASM59876v2_GCA.000598305.1.ASM59830v1	human	SAMN02315069	Bacteroides_fragilis	human	SAMN02314525	Bacteroides_fragilis
GCA.003472195.1.ASM347219v1	GCA.000598305.1.ASM59830v1	0.006939384574075472	0.20125854399479223	GCA.003472195.1.ASM347219v1_GCA.000598305.1.ASM59830v1	human	SAMN09734795	Bacteroides_fragilis	human	SAMN02314525	Bacteroides_fragilis
GCA.003458955.1.ASM345895v1	GCA.000598305.1.ASM59830v1	0.008444171106850105	0.17799064379594565	GCA.003458955.1.ASM345895v1_GCA.000598305.1.ASM59830v1	human	SAMN09734517	Bacteroides_fragilis	human	SAMN02314525	Bacteroides_fragilis
GCA.015548825.1.ASM1554882v1	GCA.000598305.1.ASM59830v1	0.007842499845500412	0.19271009112386095	GCA.015548825.1.ASM1554882v1_GCA.000598305.1.ASM59830v1	human	SAMN15533336	Bacteroides_fragilis	human	SAMN02314525	Bacteroides_fragilis
GCA.000599085.1.ASM59908v1	GCA.000598305.1.ASM59830v1	0.006845830585527958	0.17341640706126688	GCA.000599085.1.ASM59908v1_GCA.000598305.1.ASM59830v1	human	SAMN02314418	Bacteroides_fragilis	human	SAMN02314525	Bacteroides_fragilis
GCA.000601075.2.ASM60107v2	GCA.000598305.1.ASM59830v1	0.006829472174277824	0.18192945365527985	GCA.000601075.2.ASM60107v2_GCA.000598305.1.ASM59830v1	human	SAMN02314562	Bacteroides_fragilis	human	SAMN02314525	Bacteroides_fragilis
GCA.000613425.1.ASM61342v1	GCA.000598305.1.ASM59830v1	0.007414314723547472	0.2783901304479725	GCA.000613425.1.ASM61342v1_GCA.000598305.1.ASM59830v1	human	SAMD00008955	Bacteroides_fragilis	human	SAMN02314525	Bacteroides_fragilis
GCA.003475385.1.ASM347538v1	GCA.000598305.1.ASM59830v1	0.0072188950305103515	0.17081772096098743	GCA.003475385.1.ASM347538v1_GCA.000598305.1.ASM59830v1	human	SAMN09734586	Bacteroides_fragilis	human	SAMN02314525	Bacteroides_fragilis
GCA.000598585.1.ASM59858v1	GCA.000598305.1.ASM59830v1	0.006999617490310748	0.19539494723377038	GCA.000598585.1.ASM59858v1_GCA.000598305.1.ASM59830v1	human	SAMN02317049	Bacteroides_fragilis	human	SAMN02314525	Bacteroides_fragilis
GCA.000598525.1.ASM59852v1	GCA.000598305.1.ASM59830v1	0.007146194125604872	0.21906408732303037	GCA.000598525.1.ASM59852v1_GCA.000598305.1.ASM59830v1	human	SAMN02314403	Bacteroides_fragilis	human	SAMN02314525	Bacteroides_fragilis
GCA.002811065.1.Bfra.12905.v1	GCA.000598305.1.ASM59830v1	0.0071673421873779865	0.21117196056955093	GCA.002811065.1.Bfra.12905.v1_GCA.000598305.1.ASM59830v1	human	SAMN07735159	Bacteroides_fragilis	human	SAMN02314525	Bacteroides_fragilis
GCA.015556305.1.ASM1555630v1	GCA.000598305.1.ASM59830v1	0.007525243697008014	0.2086114101184069	GCA.015556305.1.ASM1555630v1_GCA.000598305.1.ASM59830v1	human	SAMN15532816	Bacteroides_fragilis	human	SAMN02314525	Bacteroides_fragilis
GCA.000599305.1.ASM59930v1	GCA.000598305.1.ASM59830v1	0.007879984006456762	0.20604123029434462	GCA.000599305.1.ASM59930v1_GCA.000598305.1.ASM59830v1	human	SAMN02315068	Bacteroides_fragilis	human	SAMN02314525	Bacteroides_fragilis
GCA.007896605.1.ASM789660v1	GCA.000598305.1.ASM59830v1	0.00745859231010749	0.19405220367993153	GCA.007896605.1.ASM789660v1_GCA.000598305.1.ASM59830v1	human	SAMN12414679	Bacteroides_fragilis	human	SAMN02314525	Bacteroides_fragilis
GCA.007896745.1.ASM789674v1	GCA.000598305.1.ASM59830v1	0.007033673491553431	0.1893643168361077	GCA.007896745.1.ASM789674v1_GCA.000598305.1.ASM59830v1	human	SAMN12414696	Bacteroides_fragilis	human	SAMN02314525	Bacteroides_fragilis
GCA.000598705.1.ASM59870v1	GCA.000598305.1.ASM59830v1	0.007671569850831944	0.16940264477884176	GCA.000598705.1.ASM59870v1_GCA.000598305.1.ASM59830v1	human	SAMN02314519	Bacteroides_fragilis	human	SAMN02314525	Bacteroides_fragilis
