iso1	iso2	comp	genenum_iso1	genenum_iso2	dist_bray	subset_genenum_iso1	subset_genenum_iso2	subset_genenum_mrca	subset_dist_bray	subset_n_gene_diff_bray	iso1_gain	iso1_loss	iso2_gain	iso2_loss	total_events	iso1_gain_events	iso1_loss_events	iso2_gain_events	iso2_loss_events	iso1_G50	iso1_L50	iso2_G50	iso2_L50
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	4448	4478	0.219	4421	4469	3954	0.217	1928	723	256	732	217	331	70	92	94	75	31	4	21	5
GCA.000598285.1.ASM59828v1	GCA.003469305.1.ASM346930v1	GCA.000598285.1.ASM59828v1_GCA.003469305.1.ASM346930v1	4831	4223	0.243	4775	4205	3891	0.239	2144	1198	314	473	159	402	174	79	77	72	20	9	13	3
GCA.000598565.1.ASM59856v1	GCA.003436935.1.ASM343693v1	GCA.000598565.1.ASM59856v1_GCA.003436935.1.ASM343693v1	4256	4420	0.163	4226	4394	4076	0.16	1380	420	270	504	186	298	95	68	59	76	11	9	26	3
GCA.000598685.2.ASM59868v2	GCA.001699875.1.ASM169987v1	GCA.000598685.2.ASM59868v2_GCA.001699875.1.ASM169987v1	4743	4042	0.218	4697	4027	4129	0.214	1868	810	242	357	459	317	96	67	61	93	23	7	13	13
GCA.000598805.1.ASM59880v1	GCA.014042465.1.ASM1404246v1	GCA.000598805.1.ASM59880v1_GCA.014042465.1.ASM1404246v1	4058	4341	0.186	4019	4320	4080	0.181	1509	368	429	476	236	439	153	131	59	96	4	6	17	6
GCA.001699855.1.ASM169985v1	GCA.000598505.1.ASM59850v1	GCA.001699855.1.ASM169985v1_GCA.000598505.1.ASM59850v1	4387	4220	0.194	4352	4139	3880	0.186	1583	641	169	516	257	416	88	77	163	88	21	3	5	5
GCA.001699885.1.ASM169988v1	GCA.003439635.1.ASM343963v1	GCA.001699885.1.ASM169988v1_GCA.003439635.1.ASM343963v1	4418	4520	0.13	4303	4375	4180	0.129	1118	394	271	324	129	325	101	87	74	63	9	7	12	2
GCA.002811025.1.Bfra.1284.v1	GCA.003472195.1.ASM347219v1	GCA.002811025.1.Bfra.1284.v1_GCA.003472195.1.ASM347219v1	4265	4647	0.155	4249	4629	4199	0.153	1356	344	294	574	144	256	73	83	60	40	13	10	24	12
GCA.002811035.1.Bfra.US326.v1	GCA.014893755.1.ASM1489375v1	GCA.002811035.1.Bfra.US326.v1_GCA.014893755.1.ASM1489375v1	4407	4298	0.17	4373	4265	4007	0.169	1458	522	156	519	261	250	69	63	51	67	17	4	57	19
GCA.003466635.1.ASM346663v1	GCA.000273095.1.Bact.frag.CL03T00C08.V1	GCA.003466635.1.ASM346663v1_GCA.000273095.1.Bact.frag.CL03T00C08.V1	4613	4394	0.229	4534	4359	4021	0.221	1965	742	229	666	328	509	268	93	61	87	4	3	44	8
GCA.003475385.1.ASM347538v1	GCA.000613425.1.ASM61342v1	GCA.003475385.1.ASM347538v1_GCA.000613425.1.ASM61342v1	4504	5319	0.274	4479	5195	4254	0.265	2566	532	307	1334	393	560	79	93	278	110	16	6	8	11
GCA.004167855.1.ASM416785v1	GCA.000965785.1.ASM96578v1	GCA.004167855.1.ASM416785v1_GCA.000965785.1.ASM96578v1	4372	4426	0.192	4360	4261	4045	0.177	1523	535	220	492	276	249	47	55	76	71	44	13	21	14
GCA.012844105.1.ASM1284410v1	GCA.009024655.1.ASM902465v1	GCA.012844105.1.ASM1284410v1_GCA.009024655.1.ASM902465v1	4461	4794	0.155	4452	4782	4474	0.154	1418	312	334	540	232	303	66	79	98	60	12	14	12	11
GCA.014042525.1.ASM1404252v1	GCA.000599185.2.ASM59918v2	GCA.014042525.1.ASM1404252v1_GCA.000599185.2.ASM59918v2	4393	4535	0.231	4362	4487	3848	0.228	2019	783	269	803	164	326	77	77	103	69	38	6	48	3
GCA.015558985.1.ASM1555898v1	GCA.004798525.1.ASM479852v1	GCA.015558985.1.ASM1555898v1_GCA.004798525.1.ASM479852v1	4434	5085	0.224	4384	5019	4039	0.219	2057	521	176	1170	190	624	88	94	361	81	18	2	7	4
GCA.015560515.1.ASM1556051v1	P16.H3	GCA.015560515.1.ASM1556051v1_P16.H3	4856	4332	0.175	4789	4259	4139	0.176	1592	849	199	332	212	312	94	72	60	86	24	5	12	4
GCA.015831765.1.ASM1583176v1	GCA.001058775.1.ASM105877v1	GCA.015831765.1.ASM1583176v1_GCA.001058775.1.ASM105877v1	4081	4406	0.208	4052	4395	3990	0.205	1735	460	398	641	236	406	66	114	124	102	12	8	15	4
