isolate	sample	site	host_site	host	genus_sp	classification	taxonomy_Genus	taxonomy_Species	Completeness	Contamination	GC	GC std	Genome.size	# ambiguous bases	# scaffolds	# contigs	Longest scaffold	Longest contig	N50 (scaffolds)	N50 (contigs)	Mean scaffold length	Mean contig length	Coding density	Translation table	predicted.genes	percent_mapped	coverage_mean	coverage_std	dataset	isolation_source	infection_status	included_analysis	isolate_old	clade	captive_clade	human_ape
P17.C2	COL_Bonobo01	Columbus_Zoo	bonobo_Columbus_Zoo	bonobo	Pan_paniscus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens	Bacteroides	Bacteroides_xylanisolvens	99.29881337648328	1.2513484358144553	0.41580898049517456	0.01943653520753595	6679990	2	67	67	423857	423857	214356	214356	99701.34328358209	99701.31343283581	0.9038303949556811	11	5274	98.855	63.666	20.622	isolate_genomes	stool	FALSE	1	P17-C2	cladeA	mixedhost	ape
P17.A3	COL_Bonobo02	Columbus_Zoo	bonobo_Columbus_Zoo	bonobo	Pan_paniscus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens	Bacteroides	Bacteroides_xylanisolvens	99.29881337648328	0.9277238403451996	0.4166359736896205	0.013793394283856734	6489000	2	50	50	452569	452569	235385	235385	129780	129779.96	0.9038831869317306	11	5097	92.494	62.074	26.46	isolate_genomes	stool	FALSE	1	P17-A3	cladeA	mixedhost	ape
P17.D4	COL_Bonobo02	Columbus_Zoo	bonobo_Columbus_Zoo	bonobo	Pan_paniscus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens	Bacteroides	Bacteroides_xylanisolvens	99.29881337648328	0.9277238403451996	0.4159256582692364	0.014208785467924775	6517473	3	48	48	435602	435602	286104	286104	135780.6875	135780.625	0.9039475882753945	11	5082	98.451	72.083	20.05	isolate_genomes	stool	FALSE	1	P17-D4	cladeA	mixedhost	ape
P17.D5	COL_Bonobo02	Columbus_Zoo	bonobo_Columbus_Zoo	bonobo	Pan_paniscus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens	Bacteroides	Bacteroides_xylanisolvens	99.29881337648328	0.9277238403451996	0.4158955205362747	0.012685430748361646	6528597	3	49	49	435787	435787	247877	247877	133236.67346938775	133236.61224489796	0.9041634825981754	11	5103	98.926	100.275	27.516	isolate_genomes	stool	FALSE	1	P17-D5	cladeA	mixedhost	ape
P19.A7	COL_Gorilla01	Columbus_Zoo	gorilla_Columbus_Zoo	gorilla	Gorilla_gorilla_gorilla	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens	Bacteroides	Bacteroides_xylanisolvens	99.46062567421791	0.6580366774541532	0.4163496233728055	0.021381807577317936	5830438	4	61	61	493564	493564	171372	171372	95580.95081967213	95580.88524590163	0.9029397105328965	11	4559	98.519	127.426	37.153	isolate_genomes	stool	FALSE	1	P19-A7	cladeB	gorilla2	ape
P19.G7	COL_Gorilla01	Columbus_Zoo	gorilla_Columbus_Zoo	gorilla	Gorilla_gorilla_gorilla	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens	Bacteroides	Bacteroides_xylanisolvens	99.46062567421791	0.6580366774541532	0.4163324175894857	0.02263745261836972	5830236	3	68	68	693309	693309	143772	143772	85738.76470588235	85738.7205882353	0.9032150671087757	11	4557	98.803	111.704	29.768	isolate_genomes	stool	FALSE	1	P19-G7	cladeB	gorilla2	ape
P19.D7.or.C7	COL_Gorilla01	Columbus_Zoo	gorilla_Columbus_Zoo	gorilla	Gorilla_gorilla_gorilla	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens	Bacteroides	Bacteroides_xylanisolvens	99.46062567421791	0.6580366774541532	0.41634719219452765	0.021248055474548822	5831195	4	65	65	693150	693149	146673	146672	89710.69230769231	89710.63076923077	0.9031824523103755	11	4558	98.959	94.323	31.009	isolate_genomes	stool	FALSE	1	P19-D7-or-C7	cladeB	gorilla2	ape
P19.10A	COL_Gorilla02	Columbus_Zoo	gorilla_Columbus_Zoo	gorilla	Gorilla_gorilla_gorilla	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens	Bacteroides	Bacteroides_xylanisolvens	99.46062567421791	0.6580366774541532	0.416866950573917	0.02068302581971759	5888311	3	59	59	693275	693275	171372	171372	99801.8813559322	99801.83050847458	0.9035183433755453	11	4629	98.817	103.511	25.301	isolate_genomes	stool	FALSE	1	P19-10A	cladeB	gorilla2	ape
P19.10B	COL_Gorilla02	Columbus_Zoo	gorilla_Columbus_Zoo	gorilla	Gorilla_gorilla_gorilla	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens	Bacteroides	Bacteroides_xylanisolvens	99.46062567421791	0.6580366774541532	0.4163083377934422	0.017230952373831893	5810773	3	58	58	493564	493564	173388	173388	100185.74137931035	100185.68965517242	0.903333687273621	11	4537	98.879	91.875	27.983	isolate_genomes	stool	FALSE	1	P19-10B	cladeB	gorilla2	ape
P19.10E	COL_Gorilla02	Columbus_Zoo	gorilla_Columbus_Zoo	gorilla	Gorilla_gorilla_gorilla	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens	Bacteroides	Bacteroides_xylanisolvens	99.46062567421791	0.6580366774541532	0.41686076739725997	0.019168748771580982	5887408	1	60	60	493564	493564	161895	161895	98123.46666666666	98123.45	0.9036924228794743	11	4632	98.812	114.655	27.587	isolate_genomes	stool	FALSE	1	P19-10E	cladeB	gorilla2	ape
