iso1	iso2	tree_dist	bray_curtis	comp	host.iso1	sample.iso1	taxonomy_Species.iso1	host.iso2	sample.iso2	taxonomy_Species.iso2
GCA.009102325.1.ASM910232v1	GCA.009101645.1.ASM910164v1	8.799839321477e-5	0.08144087705559906	GCA.009102325.1.ASM910232v1_GCA.009101645.1.ASM910164v1	human	SAMN11944305	Bacteroides_xylanisolvens	human	SAMN11944302	Bacteroides_xylanisolvens
GCA.009101685.1.ASM910168v1	GCA.009101645.1.ASM910164v1	1.022868833630721e-4	0.08666340986809966	GCA.009101685.1.ASM910168v1_GCA.009101645.1.ASM910164v1	human	SAMN11944297	Bacteroides_xylanisolvens	human	SAMN11944302	Bacteroides_xylanisolvens
GCA.009101725.1.ASM910172v1	GCA.009101645.1.ASM910164v1	9.582171586724365e-5	0.08164662168768945	GCA.009101725.1.ASM910172v1_GCA.009101645.1.ASM910164v1	human	SAMN11944299	Bacteroides_xylanisolvens	human	SAMN11944302	Bacteroides_xylanisolvens
GCA.009102305.1.ASM910230v1	GCA.009101645.1.ASM910164v1	9.327231927477327e-5	0.08080117244748412	GCA.009102305.1.ASM910230v1_GCA.009101645.1.ASM910164v1	human	SAMN11944304	Bacteroides_xylanisolvens	human	SAMN11944302	Bacteroides_xylanisolvens
GCA.009101505.1.ASM910150v1	GCA.009101645.1.ASM910164v1	1.2535754718192172e-4	0.0916953316953317	GCA.009101505.1.ASM910150v1_GCA.009101645.1.ASM910164v1	human	SAMN11944284	Bacteroides_xylanisolvens	human	SAMN11944302	Bacteroides_xylanisolvens
GCA.009101705.1.ASM910170v1	GCA.009101645.1.ASM910164v1	1.1674355427597991e-4	0.10516252390057361	GCA.009101705.1.ASM910170v1_GCA.009101645.1.ASM910164v1	human	SAMN11944300	Bacteroides_xylanisolvens	human	SAMN11944302	Bacteroides_xylanisolvens
GCA.009102145.1.ASM910214v1	GCA.009101645.1.ASM910164v1	1.280783303531653e-4	0.09195745103887067	GCA.009102145.1.ASM910214v1_GCA.009101645.1.ASM910164v1	human	SAMN11944313	Bacteroides_xylanisolvens	human	SAMN11944302	Bacteroides_xylanisolvens
GCA.009102575.1.ASM910257v1	GCA.009101645.1.ASM910164v1	1.1626008735390541e-4	0.10055027513756878	GCA.009102575.1.ASM910257v1_GCA.009101645.1.ASM910164v1	human	SAMN11944285	Bacteroides_xylanisolvens	human	SAMN11944302	Bacteroides_xylanisolvens
GCA.009101535.1.ASM910153v1	GCA.009101645.1.ASM910164v1	0.012040072649416316	0.24556814879395525	GCA.009101535.1.ASM910153v1_GCA.009101645.1.ASM910164v1	human	SAMN11944266	Bacteroides_xylanisolvens	human	SAMN11944302	Bacteroides_xylanisolvens
GCA.015547545.1.ASM1554754v1	GCA.009101645.1.ASM910164v1	0.010915703623651412	0.2229670649956281	GCA.015547545.1.ASM1554754v1_GCA.009101645.1.ASM910164v1	human	SAMN15533273	Bacteroides_xylanisolvens	human	SAMN11944302	Bacteroides_xylanisolvens
