GCA.009101645.1.ASM910164v1	GCA.009102325.1.ASM910232v1	GCA.009101685.1.ASM910168v1	GCA.009101725.1.ASM910172v1	GCA.009102305.1.ASM910230v1	GCA.009101505.1.ASM910150v1	GCA.009101705.1.ASM910170v1	GCA.009102145.1.ASM910214v1	GCA.009102575.1.ASM910257v1	GCA.009101535.1.ASM910153v1	GCA.015547545.1.ASM1554754v1	GCA.009102785.1.ASM910278v1	GCA.009102805.1.ASM910280v1	GCA.009101965.1.ASM910196v1	GCA.009102045.1.ASM910204v1	GCA.902374095.1.MGYG.HGUT.01345	GCA.000178215.1.ASM17821v1	GCA.009093695.1.ASM909369v1	GCA.900114865.1.IMG.taxon.2654588180.annotated.assembly	GCA.900107825.1.IMG.taxon.2623620516.annotated.assembly	GCA.015556195.1.ASM1555619v1	GCA.008710235.1.ASM871023v1	GCA.003458755.1.ASM345875v1	P20.6B	P19.A7	GCA.009102705.1.ASM910270v1	GCA.003437545.1.ASM343754v1	GCA.015553655.1.ASM1555365v1	GCA.003474645.1.ASM347464v1	GCA.003469745.1.ASM346974v1	GCA.009093775.1.ASM909377v1	GCA.003436085.1.ASM343608v1	GCA.000273315.1.Bact.xyla.CL03T12C04.V1	P21.6G	P13.H9	P14.B8	GCA.003468875.1.ASM346887v1	GCA.002161135.1.ASM216113v1	GCA.002161115.1.ASM216111v1	GCA.009102085.1.ASM910208v1	GCA.003464445.1.ASM346444v1	GCA.003474245.1.ASM347424v1	GCA.016864215.1.ASM1686421v1	GCA.015551805.1.ASM1555180v1	GCA.003473975.1.ASM347397v1	GCA.000210075.1.ASM21007v1	GCA.015559535.1.ASM1555953v1	GCA.015668785.1.ASM1566878v1	GCA.009102375.1.ASM910237v1	GCA.009102285.1.ASM910228v1
GCA.009101645.1.ASM910164v1	0	0.0814408770555991	0.0866634098680997	0.0816466216876894	0.0808011724474841	0.0916953316953317	0.105162523900574	0.0919574510388707	0.100550275137569	0.245568148793955	0.222967064995628	0.255107075890654	0.242388295769079	0.30244429174438	0.275561580170411	0.30234002899151	0.324794144556267	0.333394210574377	0.358205826870677	0.362422997946612	0.339379004435683	0.378223216892089	0.386562804284323	0.361554621848739	0.361429322122964	0.336392314310295	0.350601672445442	0.354269509505304	0.414841389728097	0.375220687506491	0.382115462252725	0.352048558421851	0.374806880214234	0.390429747028345	0.409249825192288	0.409140914091409	0.354104130007246	0.359650989572249	0.370484816196058	0.385707146426787	0.337798660401879	0.350092345577673	0.325282581393102	0.298235294117647	0.351137678364828	0.327703398558187	0.255459827689842	0.26528934114503	0.0966719492868463	0.0893987341772152
GCA.009102325.1.ASM910232v1	0.0814408770555991	0	0.0182402419431056	0.00747186229074057	0.00935639353558265	0.0333618477331052	0.0615579111154332	0.0433445458913984	0.0538632627405473	0.189614771768676	0.161199360842184	0.208703120526768	0.19327088510801	0.257191683281116	0.225782274686153	0.260695721711315	0.281351271727389	0.294857041692485	0.316545307443366	0.323022010707912	0.299780764464779	0.337663560199567	0.350979653353429	0.324751672410298	0.324206469932056	0.295086517997594	0.312056737588652	0.314888010540184	0.378862680563174	0.337944862155388	0.346596450165789	0.316757208524864	0.340228741919443	0.352635194817941	0.37781210775321	0.377477042049299	0.321474967522734	0.324712643678161	0.33326482375912	0.348855183074099	0.302348052951976	0.310741181133571	0.279611105917547	0.250142234022378	0.305467437954842	0.280031821797932	0.206429124709528	0.215682382133995	0.0471174104577667	0.0283036909542934
GCA.009101685.1.ASM910168v1	0.0866634098680997	0.0182402419431056	0	0.0168051359516616	0.0177358490566038	0.0394686907020873	0.0642593671131819	0.0495011511895625	0.0598455598455598	0.197043413173653	0.170013135672734	0.214517050866832	0.200457971567599	0.262888551933283	0.232395024782568	0.268282949216801	0.288374828465007	0.299399080947331	0.321691733117997	0.328253339930727	0.306184586108468	0.344108250328886	0.356464503996239	0.3298937784522	0.329757085020243	0.301311657121744	0.319634254252286	0.322071616427271	0.384868120835995	0.344006403842305	0.351503942373211	0.321864247732249	0.34703196347032	0.359130094043887	0.38396299151889	0.3836356619066	0.328745262317973	0.331353067704599	0.338051282051282	0.355641272902604	0.309413580246914	0.318366135891603	0.286860768943636	0.256980596308566	0.313029710347397	0.286153846153846	0.215424760800232	0.223895383396077	0.0524806423860052	0.0336928510069676
GCA.009101725.1.ASM910172v1	0.0816466216876894	0.00747186229074057	0.0168051359516616	0	0.00698640483383686	0.0332320546904671	0.0608121235671265	0.0412826420890937	0.0529366306027821	0.191011235955056	0.162065727699531	0.210104861773117	0.195264012221904	0.257966616084977	0.226579316799251	0.261707438841737	0.282715322738866	0.296250442164839	0.316092534599454	0.321976824799445	0.301085507522377	0.337972540906526	0.350898654370942	0.324896223549661	0.324756888168558	0.295433536698096	0.312801338187543	0.316258351893096	0.379304046031601	0.338273583016223	0.347491475888943	0.316706668058019	0.341943175044705	0.353333333333333	0.378279320987654	0.378331402085747	0.323018566580156	0.324654023577652	0.333196468897557	0.350511484269446	0.303667953667954	0.312877363159458	0.280164363093015	0.251302453348489	0.30599310280548	0.280222509188437	0.20862752684012	0.217529248463216	0.0462068305749546	0.0270321902760531
GCA.009102305.1.ASM910230v1	0.0808011724474841	0.00935639353558265	0.0177358490566038	0.00698640483383686	0	0.0335863377609108	0.0615414482624733	0.0424021488871834	0.0525096525096525	0.191803892215569	0.162507036967536	0.208611164031244	0.194351683999618	0.257960576194086	0.22697091555223	0.261498553327347	0.282493628700255	0.294980558501237	0.317250428989603	0.322315685304305	0.301427212178877	0.337906408569818	0.351951104842501	0.325644916540212	0.325303643724696	0.295584703491594	0.312555304296529	0.316204733967226	0.378844574244775	0.338803281969182	0.347026185145527	0.317276613491815	0.342267222553107	0.35403605015674	0.378951426368543	0.379004245465071	0.32296030321165	0.325002560688313	0.333538461538462	0.349855351976856	0.303433641975309	0.312234200375828	0.280515117581187	0.25149077141505	0.306323926608922	0.280595533498759	0.20769305112593	0.217158708143452	0.0454067488767804	0.0273933377875346
GCA.009101505.1.ASM910150v1	0.0916953316953317	0.0333618477331052	0.0394686907020873	0.0332320546904671	0.0335863377609108	0	0.0701034954110525	0.0576997298340409	0.0640776699029126	0.211704930372601	0.18399698056237	0.225905345851696	0.213319259188178	0.271826153259626	0.24386344399511	0.280939476061427	0.302701636758036	0.30952380952381	0.337260079211943	0.341961174713788	0.317129186602871	0.356265356265356	0.370401891252955	0.346972010178117	0.346435845213849	0.314880178339216	0.332608050637919	0.336657846529615	0.397081765623566	0.358969196698208	0.364731224909429	0.338789214143322	0.361294188136609	0.374063854946788	0.398991857309035	0.398874223602484	0.341761990768613	0.345769349685664	0.353766769865841	0.369350145489816	0.321885913853318	0.331210824793553	0.298986486486487	0.270061875297477	0.325278636321064	0.299650524213679	0.226402255273646	0.23599760813235	0.0597057975194693	0.0465585101276759
GCA.009101705.1.ASM910170v1	0.105162523900574	0.0615579111154332	0.0642593671131819	0.0608121235671265	0.0615414482624733	0.0701034954110525	0	0.081374679044045	0.0832836414231763	0.23330125120308	0.207722007722008	0.245098039215686	0.233231857016596	0.292373707821338	0.265031265031265	0.295424164524422	0.316033925686591	0.326556543837357	0.351649495264856	0.3604568165596	0.337054445750098	0.373743232791957	0.383960530134468	0.360801084802337	0.360467543310374	0.33016717325228	0.349539147169047	0.352941176470588	0.412515245332583	0.372937293729373	0.38125313283208	0.351124502313569	0.373772504091653	0.386478304742684	0.410001984520738	0.409696006358037	0.355263157894737	0.359112519809826	0.368176047397376	0.38582208101668	0.335650446871897	0.347600122286762	0.316759454789787	0.287815330671082	0.342657342657343	0.316763833486755	0.246691213056025	0.257247856267864	0.0817671947259667	0.0659200314372728
GCA.009102145.1.ASM910214v1	0.0919574510388707	0.0433445458913984	0.0495011511895625	0.0412826420890937	0.0424021488871834	0.0576997298340409	0.081374679044045	0	0.0710919088766693	0.213280060882801	0.187368822743751	0.224956403797714	0.211450752062106	0.272937548188126	0.245412189787962	0.279171321214583	0.299820466786355	0.30754039497307	0.332442708868564	0.338301943800987	0.315463518482679	0.353716797248232	0.362462950568888	0.336491914718303	0.336150041220115	0.306478873239437	0.324462231115558	0.327909371781668	0.39152212225211	0.350987981258912	0.359413687233832	0.328518321826872	0.352394423115781	0.368819776714514	0.389607843137255	0.389477817039655	0.333197969543147	0.338687806404506	0.345519114267809	0.361585246223269	0.315149136577708	0.323402113739305	0.299240986717268	0.270767157570507	0.323548906353565	0.299323163955955	0.22367515485203	0.235934664246824	0.0658240155566359	0.0501893020095136
GCA.009102575.1.ASM910257v1	0.100550275137569	0.0538632627405473	0.0598455598455598	0.0529366306027821	0.0525096525096525	0.0640776699029126	0.0832836414231763	0.0710919088766693	0	0.229326186830015	0.202150124784028	0.240982647689608	0.229762718484523	0.286268425135764	0.261838706591409	0.29244607993458	0.313390885364385	0.32701336222463	0.349539671045826	0.356512924480487	0.33398247322298	0.370697942703326	0.382395382395382	0.35966822187662	0.35954356846473	0.327980351407519	0.34790051354345	0.351026332158408	0.411215825324251	0.371744925158909	0.381839928236819	0.352368730617046	0.375432174089892	0.38623595505618	0.411010260457774	0.410904780719083	0.355405681585939	0.356925338653786	0.367613038906414	0.384402764067127	0.335900473933649	0.347381217708439	0.312523864070256	0.281162227602906	0.33981137467848	0.31286222674123	0.242703077075294	0.253095189770651	0.0724977986498386	0.0653511771026668
GCA.009101535.1.ASM910153v1	0.245568148793955	0.189614771768676	0.197043413173653	0.191011235955056	0.191803892215569	0.211704930372601	0.23330125120308	0.213280060882801	0.229326186830015	0	0.135678391959799	0.218779520120914	0.203708960166525	0.219172932330827	0.18578981541601	0.250123627732173	0.267055393586006	0.279375657663978	0.295047523761881	0.329539880310017	0.287601434232874	0.306244175209692	0.331157325375361	0.30672816604833	0.306581059390048	0.295400403151915	0.309094453650453	0.302987768197313	0.378904481665912	0.345367982543146	0.3336550526011	0.317698109308813	0.319228498327101	0.342657342657343	0.366207951070336	0.365288939915806	0.332212774372157	0.314181301390722	0.340313071762553	0.349206349206349	0.296097934200459	0.290518678301794	0.287671232876712	0.234206326856285	0.298290993071594	0.287021548755289	0.226832774317202	0.210960518562169	0.221916769362025	0.205679129200189
