GeneID	cat	group	phylalist	orderlist	genuslist	specieslist
BKHAPHKO_00003	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caccae, caecimuris, finegoldii, fragilis, intestinigallinarum, ovatus, sp., xylanisolvens
BKHAPHKO_00004	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, fragilis, intestinigallinarum, ovatus, sp., xylanisolvens
BKHAPHKO_00005	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, ovatus, sp., xylanisolvens
BKHAPHKO_00006	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	fragilis, ovatus, sp., xylanisolvens
BKHAPHKO_00007	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
BKHAPHKO_00008	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00009	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, fragilis, intestinigallinarum, ovatus, sp., xylanisolvens
BKHAPHKO_00010	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	acidifaciens, caecimuris, fragilis, intestinigallinarum, ovatus, sp., xylanisolvens
BKHAPHKO_00011	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
BKHAPHKO_00012	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, ovatus, sp., xylanisolvens
BKHAPHKO_00013	multiphyla	Bacteria	Bacteroidetes, Firmicutes, Actinobacteria	Bacteroidales, Erysipelotrichales, Coriobacteriales	Bacteroides, Catenibacterium, Collinsella	caccae, caecimuris, cellulosilyticus, eggerthii, faecis, finegoldii, fluxus, fragilis, helcogenes, intestinalis, intestinigallinarum, oleiciplenus, ovatus, sp., thetaiotaomicron, uniformis, xylanisolvens, mitsuokai
BKHAPHKO_00014	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00015	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	acidifaciens, caecimuris, ovatus, sp., xylanisolvens
BKHAPHKO_00016	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00017	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	acidifaciens, caccae, caecimuris, finegoldii, fragilis, intestinigallinarum, ovatus, sp., xylanisolvens
BKHAPHKO_00018	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	intestinigallinarum, sp., xylanisolvens
BKHAPHKO_00019	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	finegoldii, ovatus, sp., xylanisolvens
BKHAPHKO_00020	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	finegoldii, sp., xylanisolvens
BKHAPHKO_00021	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	finegoldii, intestinigallinarum, sp., xylanisolvens
BKHAPHKO_00022	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	finegoldii, ovatus, sp., xylanisolvens
BKHAPHKO_00023	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	finegoldii, sp., xylanisolvens
BKHAPHKO_00024	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	finegoldii, intestinigallinarum, sp., xylanisolvens
BKHAPHKO_00025	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	finegoldii, ovatus, sp., xylanisolvens
BKHAPHKO_00026	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	finegoldii, sp., xylanisolvens
BKHAPHKO_00027	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, fragilis, intestinigallinarum, ovatus, sp., xylanisolvens
BKHAPHKO_00028	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, fragilis, intestinigallinarum, ovatus, sp., xylanisolvens
BKHAPHKO_00031	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, ovatus, sp., xylanisolvens
BKHAPHKO_00032	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, fragilis, intestinigallinarum, ovatus, sp., xylanisolvens
BKHAPHKO_00033	multiphyla	Bacteria	Bacteroidetes, Firmicutes	Bacteroidales, Erysipelotrichales	Bacteroides, Catenibacterium	acidifaciens, caccae, caecimuris, cellulosilyticus, finegoldii, fragilis, gallinarum, intestinalis, intestinigallinarum, oleiciplenus, ovatus, sp., stercorirosoris, uniformis, xylanisolvens, mitsuokai
BKHAPHKO_00034	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, fragilis, intestinigallinarum, ovatus, sp., xylanisolvens
BKHAPHKO_00035	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, fragilis, intestinigallinarum, ovatus, sp., xylanisolvens
BKHAPHKO_00036	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
BKHAPHKO_00037	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	acidifaciens, bouchesdurhonensis, caccae, caecimuris, congonensis, faecis, finegoldii, fragilis, intestinigallinarum, ovatus, sp., thetaiotaomicron
BKHAPHKO_00038	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00039	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00040	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, ovatus, sp., xylanisolvens
BKHAPHKO_00041	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, ovatus, sp., xylanisolvens
BKHAPHKO_00042	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, ovatus, sp., xylanisolvens
BKHAPHKO_00043	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00044	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, fragilis, ovatus, sp., xylanisolvens
BKHAPHKO_00045	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, fragilis, intestinigallinarum, ovatus, sp., xylanisolvens
BKHAPHKO_00046	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
BKHAPHKO_00047	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00048	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	acidifaciens, caecimuris, ovatus, sp., xylanisolvens
BKHAPHKO_00049	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	acidifaciens, caecimuris, fragilis, ovatus, sp., xylanisolvens
BKHAPHKO_00050	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00051	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, ovatus, sp., xylanisolvens
BKHAPHKO_00052	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00053	multiphyla	Bacteria	Bacteroidetes, Proteobacteria	Bacteroidales, Enterobacterales	Bacteroides, Escherichia	caecimuris, fragilis, intestinigallinarum, ovatus, sp., xylanisolvens, coli
BKHAPHKO_00054	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, fragilis, intestinigallinarum, ovatus, sp., xylanisolvens
BKHAPHKO_00055	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00057	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00058	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, ovatus, sp., xylanisolvens
BKHAPHKO_00059	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, fragilis, intestinigallinarum, ovatus, sp., xylanisolvens
BKHAPHKO_00060	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
BKHAPHKO_00061	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, sp., xylanisolvens
BKHAPHKO_00062	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
BKHAPHKO_00063	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
BKHAPHKO_00064	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, sp., xylanisolvens
BKHAPHKO_00065	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
BKHAPHKO_00066	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
BKHAPHKO_00067	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00068	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00069	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
BKHAPHKO_00070	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, fragilis, ovatus, sp., xylanisolvens
BKHAPHKO_00071	multiphyla	Bacteria	Bacteroidetes, Proteobacteria	Bacteroidales, Enterobacterales	Bacteroides, Escherichia	acidifaciens, caccae, caecimuris, congonensis, fragilis, intestinigallinarum, ovatus, sp., xylanisolvens, coli
BKHAPHKO_00072	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	acidifaciens, caecimuris, congonensis, fragilis, intestinigallinarum, ovatus, sp., xylanisolvens
BKHAPHKO_00073	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00074	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00075	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
BKHAPHKO_00076	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
BKHAPHKO_00077	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	acidifaciens, caccae, caecimuris, faecis, sp., xylanisolvens
BKHAPHKO_00078	multispecies	Bacteroides	Bacteroidetes, Bacteriophage	Bacteroidales	Bacteroides	caecimuris, fragilis, ovatus, sp., xylanisolvens
BKHAPHKO_00079	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
BKHAPHKO_00080	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
BKHAPHKO_00081	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, sp., xylanisolvens
BKHAPHKO_00082	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	finegoldii, sp., xylanisolvens
BKHAPHKO_00083	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	acidifaciens, caccae, caecimuris, finegoldii, fragilis, intestinigallinarum, ovatus, sp., xylanisolvens, zhangwenhongi
BKHAPHKO_00084	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, finegoldii, ovatus, sp., xylanisolvens
BKHAPHKO_00085	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	finegoldii, ovatus, sp., xylanisolvens
BKHAPHKO_00086	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00087	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00088	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
BKHAPHKO_00089	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
BKHAPHKO_00090	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
BKHAPHKO_00091	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
BKHAPHKO_00092	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
BKHAPHKO_00093	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
BKHAPHKO_00094	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
BKHAPHKO_00095	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
BKHAPHKO_00096	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, fragilis, ovatus, sp., xylanisolvens
BKHAPHKO_00097	multiphyla	Bacteria	Bacteroidetes, Proteobacteria	Bacteroidales, Enterobacterales	Bacteroides, Escherichia, Parabacteroides	caecimuris, fragilis, sp., xylanisolvens, coli
BKHAPHKO_00098	multiphyla	Bacteria	Bacteroidetes, Proteobacteria	Bacteroidales, Enterobacterales	Bacteroides, Escherichia, Parabacteroides	fragilis, ovatus, sp., xylanisolvens, coli, distasonis
BKHAPHKO_00099	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	intestinigallinarum, ovatus, sp., xylanisolvens
BKHAPHKO_00100	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00101	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caccae, fragilis, intestinigallinarum, ovatus, sp., xylanisolvens
BKHAPHKO_00102	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00103	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caccae, fragilis, intestinigallinarum, ovatus, sp., xylanisolvens
BKHAPHKO_00104	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, fragilis, ovatus, sp., xylanisolvens
BKHAPHKO_00105	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	fragilis, ovatus, sp., xylanisolvens
BKHAPHKO_00106	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, fragilis, ovatus, sp., xylanisolvens
BKHAPHKO_00107	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	fragilis, ovatus, sp., xylanisolvens
BKHAPHKO_00108	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, fragilis, intestinigallinarum, ovatus, sp., xylanisolvens
BKHAPHKO_00109	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, fragilis, ovatus, sp., xylanisolvens
BKHAPHKO_00110	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, fragilis, intestinigallinarum, ovatus, sp., xylanisolvens
BKHAPHKO_00111	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	fragilis, ovatus, sp., xylanisolvens
BKHAPHKO_00112	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
BKHAPHKO_00113	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00114	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00115	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00116	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00117	multiphyla	Bacteria	Bacteroidetes, Proteobacteria	Bacteroidales, Enterobacterales	Bacteroides, Escherichia	acidifaciens, caecimuris, fragilis, ovatus, sp., xylanisolvens, coli
BKHAPHKO_00118	multiphyla	Bacteria	Bacteroidetes, Proteobacteria	Bacteroidales, Enterobacterales	Bacteroides, Escherichia, Phocaeicola	fragilis, ovatus, sp., xylanisolvens, coli, vulgatus
BKHAPHKO_00119	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	fragilis, intestinigallinarum, ovatus, sp., xylanisolvens
BKHAPHKO_00120	multiphyla	Bacteria	Bacteroidetes, Proteobacteria	Bacteroidales, Enterobacterales	Bacteroides, Escherichia	acidifaciens, caecimuris, ovatus, sp., xylanisolvens, coli
BKHAPHKO_00121	multiphyla	Bacteria	Bacteroidetes, Proteobacteria	Bacteroidales, Enterobacterales	Bacteroides, Escherichia	acidifaciens, caccae, caecimuris, fragilis, intestinigallinarum, ovatus, sp., xylanisolvens, coli
BKHAPHKO_00122	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	acidifaciens, ovatus, sp., xylanisolvens
BKHAPHKO_00123	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00124	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, ovatus, sp., xylanisolvens
BKHAPHKO_00125	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00126	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00132	singlespecies	Bacteroides_intestinalis	Bacteroidetes	Bacteroidales	Bacteroides	intestinalis
BKHAPHKO_00133	multigenus	Bacteroidales	Bacteroidetes	Bacteroidales	Bacteroides, Phocaeicola	intestinalis, ovatus, sartorii
BKHAPHKO_00134	multigenus	Bacteroidales	Bacteroidetes	Bacteroidales	Bacteroides, Parabacteroides, Phocaeicola	intestinalis, ovatus, uniformis, xylanisolvens, distasonis, sp., dorei, sartorii
BKHAPHKO_00136	multigenus	Bacteroidales	Bacteroidetes	Bacteroidales	Bacteroides, Parabacteroides, Phocaeicola	intestinalis, ovatus, uniformis, xylanisolvens, distasonis, sp., dorei, massiliensis
BKHAPHKO_00137	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00138	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
BKHAPHKO_00139	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, fragilis, ovatus, sp., xylanisolvens
BKHAPHKO_00140	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, ovatus, sp., xylanisolvens
BKHAPHKO_00141	multiphyla	Bacteria	Bacteroidetes, Proteobacteria	Bacteroidales, Enterobacterales	Bacteroides, Escherichia, Parabacteroides	caecimuris, fragilis, ovatus, sp., xylanisolvens, coli, distasonis
BKHAPHKO_00142	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, fragilis, ovatus, sp., xylanisolvens
BKHAPHKO_00143	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caccae, finegoldii, fragilis, ovatus, sp.
BKHAPHKO_00144	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00146	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	fragilis, intestinigallinarum, ovatus, sp., xylanisolvens
BKHAPHKO_00147	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	fragilis, intestinigallinarum, ovatus, sp., xylanisolvens
BKHAPHKO_00148	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00149	multiphyla	Bacteria	Bacteroidetes, Proteobacteria	Bacteroidales, Enterobacterales	Bacteroides, Escherichia	caccae, caecimuris, fragilis, intestinigallinarum, ovatus, sp., xylanisolvens, coli
BKHAPHKO_00150	multiphyla	Bacteria	Bacteroidetes, Proteobacteria	Bacteroidales, Enterobacterales	Bacteroides, Escherichia	caecimuris, fragilis, intestinigallinarum, ovatus, sp., xylanisolvens, coli
BKHAPHKO_00151	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	fragilis, ovatus, sp., xylanisolvens
BKHAPHKO_00152	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus
BKHAPHKO_00153	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, intestinigallinarum, ovatus, sp.
BKHAPHKO_00154	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, ovatus, sp., xylanisolvens
BKHAPHKO_00155	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, ovatus, sp., xylanisolvens
BKHAPHKO_00156	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, ovatus, sp., xylanisolvens
BKHAPHKO_00157	multiphyla	Bacteria	Bacteroidetes, Proteobacteria	Bacteroidales, Enterobacterales	Bacteroides, Escherichia	caecimuris, ovatus, sp., xylanisolvens, coli
BKHAPHKO_00158	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00159	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00160	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00161	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	xylanisolvens
BKHAPHKO_00162	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00163	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	xylanisolvens
BKHAPHKO_00164	multispecies	Bacteroides	Bacteroidetes, Bacteriophage	Bacteroidales	Bacteroides	ovatus, xylanisolvens
BKHAPHKO_00165	multispecies	Bacteroides	Bacteroidetes, Bacteriophage	Bacteroidales	Bacteroides	ovatus, xylanisolvens
BKHAPHKO_00166	multigenus	Bacteroidales	Bacteroidetes, Bacteriophage	Bacteroidales	Bacteroides, Phocaeicola	ovatus, xylanisolvens, vulgatus
BKHAPHKO_00167	multispecies	Bacteroides	Bacteroidetes, Bacteriophage	Bacteroidales	Bacteroides	ovatus, xylanisolvens
BKHAPHKO_00168	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes, Bacteriophage	Bacteroidales	Bacteroides	xylanisolvens
BKHAPHKO_00169	unclassified	Bacteroides_sp.	Bacteroidetes	Bacteroidales	Bacteroides	sp.
BKHAPHKO_00170	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, xylanisolvens
BKHAPHKO_00171	multispecies	Bacteroides	Bacteroidetes, Bacteriophage	Bacteroidales	Bacteroides	ovatus, xylanisolvens
BKHAPHKO_00172	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, xylanisolvens
