iso1	iso2	comp	name	geneGainLoss	cluster_size	is_dup
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	group_11818_group_11941_58	iso1_gain	114	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	group_1101_group_2519_11	iso1_gain	92	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	group_3932_group_6524_39	iso1_gain	66	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	group_5187_group_5203_46	iso1_gain	56	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	group_26365_rcsC_4_5	iso1_gain	46	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	group_11775_xerC_19_27	iso1_gain	40	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	group_14002_group_9684_76	iso2_gain	40	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	group_14037_xerC_3_84	iso2_gain	32	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	group_2455_group_901_57	iso1_loss	30	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	group_3257_group_906_1	iso2_gain	30	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	btr_group_6457_16	iso1_gain	25	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	group_10057_group_9201_3	iso1_loss	24	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	group_14035_group_4267_82	iso2_gain	24	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	group_13925_group_13935_29	iso2_gain	22	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	group_11540_group_11551_22	iso2_gain	22	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	arbA_rfbB_28	iso1_loss	21	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	group_3736_group_716_56	iso1_loss	21	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	group_4109_group_9617_80	iso2_gain	21	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	group_13989_group_13999_74	iso2_gain	19	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	group_13942_group_4255_54	iso2_gain	19	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	group_11297_zraR_6_60	iso2_gain	18	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	group_13952_group_13966_56	iso2_gain	17	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	capD_group_26385_38	iso1_gain	16	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	group_8803_wecB_2_52	iso2_gain	15	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	capD_ptk_2_49	iso1_gain	15	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	ce_2_ce_2_27	iso2_loss	14	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	group_2539_group_6544_36	iso1_gain	14	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	group_10732_group_6185_31	iso2_gain	14	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	group_2637_group_7127_75	iso2_gain	14	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	glf_2_group_13988_71	iso2_gain	14	0
GCA.001314975.1.ASM131497v1	GCA.001816245.2.ASM181624v2	GCA.001314975.1.ASM131497v1_GCA.001816245.2.ASM181624v2	group_48_ydeA_1_63	iso1_loss	13	0
