iso1	iso2	comp	name	geneGainLoss	cluster_size	is_dup
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_11104_group_11194_41	iso1_gain	129	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_4072_lysO_2_77	iso1_gain	119	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_11435_group_11446_94	iso1_gain	92	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_11010_pyrE_1_30	iso1_gain	92	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_1878_group_6225_18	iso1_gain	90	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_4485_group_6604_27	iso1_gain	90	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_11447_group_11489_95	iso1_gain	81	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_17247_xerC_28_73	iso2_gain	80	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_10931_group_6806_26	iso1_gain	75	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_17493_group_8407_23	iso2_gain	75	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_2115_group_22163_5	iso2_gain	67	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_2115_group_8703_77	iso2_gain	66	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_10257_group_867_113	iso1_gain	65	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_10837_group_10865_7	iso1_gain	62	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_5332_group_8859_26	iso2_loss	60	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_10644_group_11290_55	iso1_gain	59	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_222_group_9939_16	iso1_gain	54	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_11525_group_6987_105	iso1_gain	49	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_2222_group_2222_3	iso2_gain	45	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_10457_group_6588_5	iso2_loss	41	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_4520_group_8846_51	iso1_gain	41	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_4276_scrK_1_29	iso2_loss	36	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_1130_group_1598_109	iso1_gain	33	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_22215_group_972_36	iso2_gain	32	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_9766_hldD_16	iso2_loss	30	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_4456_group_6419_5	iso1_gain	28	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_5874_group_9241_50	iso1_loss	28	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_1974_group_868_42	iso2_loss	26	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_1043_group_9030_17	iso2_loss	26	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_1641_yesW_1_19	iso2_gain	25	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_1828_group_9511_18	iso1_loss	24	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_1860_xerC_37_126	iso1_gain	24	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_22143_group_22161_2	iso2_gain	24	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_11200_group_11217_44	iso1_gain	24	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_11599_ogt_116	iso1_gain	23	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_10771_group_1972_36	iso2_loss	22	0
GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1	group_11447_group_4552_104	iso1_gain	22	0
