GCA.000598305.1.ASM59830v1	GCA.000598765.2.ASM59876v2	GCA.003472195.1.ASM347219v1	GCA.003458955.1.ASM345895v1	GCA.015548825.1.ASM1554882v1	GCA.000599085.1.ASM59908v1	GCA.000601075.2.ASM60107v2	GCA.000613425.1.ASM61342v1	GCA.003475385.1.ASM347538v1	GCA.000598585.1.ASM59858v1	GCA.000598525.1.ASM59852v1	GCA.002811065.1.Bfra.12905.v1	GCA.015556305.1.ASM1555630v1	GCA.000599305.1.ASM59930v1	GCA.007896605.1.ASM789660v1	GCA.007896745.1.ASM789674v1	GCA.000598705.1.ASM59870v1	GCA.000599065.2.ASM59906v2	GCA.003852685.1.ASM385268v1	GCA.004167855.1.ASM416785v1	GCA.001699875.1.ASM169987v1	GCA.000599145.2.ASM59914v2	GCA.014042405.1.ASM1404240v1	P16.C3	GCA.000273155.1.Bact.frag.CL07T12C05.V1	GCA.015553295.1.ASM1555329v1	GCA.007896595.1.ASM789659v1	GCA.000598645.1.ASM59864v1	GCA.015831745.1.ASM1583174v1	GCA.004798445.1.ASM479844v1	GCA.015558985.1.ASM1555898v1	GCA.000598445.1.ASM59844v1	GCA.000599185.2.ASM59918v2	GCA.014042525.1.ASM1404252v1	GCA.000598365.1.ASM59836v1	GCA.003363115.1.ASM336311v1	GCA.000273765.1.Bact.frag.CL05T00C42.V1	GCA.003469305.1.ASM346930v1	GCA.000598425.1.ASM59842v1	GCA.000598505.1.ASM59850v1	GCA.000598905.1.ASM59890v1	GCA.015669295.1.ASM1566929v1	GCA.013327815.1.ASM1332781v1	GCA.000273115.1.Bact.frag.CL03T12C07.V1	GCA.003466635.1.ASM346663v1	GCA.003439635.1.ASM343963v1	GCA.015551365.1.ASM1555136v1	GCA.014042465.1.ASM1404246v1	GCA.000598805.1.ASM59880v1	GCA.902374115.1.MGYG.HGUT.01337
GCA.000598305.1.ASM59830v1	0	0.184180004639295	0.201258543994792	0.177990643795946	0.192710091123861	0.173416407061267	0.18192945365528	0.278390130447973	0.170817720960987	0.19539494723377	0.21906408732303	0.211171960569551	0.208611410118407	0.206041230294345	0.194052203679932	0.189364316836108	0.169402644778842	0.200392498909725	0.240121580547112	0.216953701632744	0.156990246168137	0.230094178082192	0.207322452580503	0.175162811587694	0.215264187866928	0.212121212121212	0.242627065467475	0.176015473887814	0.209205504799352	0.25546218487395	0.187916481563749	0.2458063073138	0.237781438769907	0.231284168247239	0.216776942918022	0.209770114942529	0.218046779736171	0.207096554077107	0.226535406645039	0.205688282138794	0.240191174836056	0.211664039630714	0.22313691507799	0.206299564391824	0.231623652401176	0.188998899889989	0.184239733629301	0.213556278756593	0.17362076958739	0.161392763978678
GCA.000598765.2.ASM59876v2	0.184180004639295	0	0.175537418094034	0.149881796690307	0.150878031298531	0.141489753343969	0.173692289526508	0.257069683064774	0.168536699392239	0.195531986911881	0.210532341156268	0.186716209939619	0.185362517099863	0.164971355080089	0.201812004530011	0.162338432349105	0.142476375090865	0.198058701178646	0.211180124223602	0.165954415954416	0.148505065480603	0.189440290052119	0.182690058479532	0.158082975679542	0.1963133640553	0.190454016298021	0.227111897390535	0.156087534760005	0.146758518883011	0.213063763608087	0.16969125618666	0.215574548907882	0.198323046465588	0.186500888099467	0.198714132634837	0.209378663540445	0.19228507585558	0.166646525679758	0.211257570359815	0.183752417794971	0.20250029484609	0.181013868962219	0.199219646545788	0.16727919383521	0.198615118291979	0.180354643023798	0.175930287329251	0.15929941618015	0.156103575832306	0.155078925171707
GCA.003472195.1.ASM347219v1	0.201258543994792	0.175537418094034	0	0.183213694091662	0.178228864599598	0.192817932296432	0.197484554280671	0.274132048966486	0.174079335591739	0.207231972932967	0.231939978563773	0.221461931139351	0.200384327959859	0.229777000437254	0.219310344827586	0.208684093929996	0.178890270087015	0.210076765055682	0.235224459037571	0.203681117640537	0.181954194959144	0.223861585818915	0.201093493712411	0.189135032839809	0.226307277628032	0.201524224278715	0.231040564373898	0.202346041055718	0.205410362219166	0.249140356361363	0.180927210659619	0.258232620024393	0.2413417556088	0.225	0.224371803424505	0.24186301369863	0.249065728731589	0.225930101465614	0.242236024844721	0.235818202323221	0.249283667621777	0.19633887710682	0.226125255129445	0.219490586932447	0.235205183585313	0.202356277953529	0.215362605920546	0.194481530930129	0.205973578403217	0.182370137171127
GCA.003458955.1.ASM345895v1	0.177990643795946	0.149881796690307	0.183213694091662	0	0.118826629998854	0.166372721928277	0.188668555240793	0.259997943867585	0.171903052064632	0.187547456340167	0.234627653723463	0.201159678858162	0.203111305872042	0.200808171511954	0.218593511865883	0.18693821822733	0.147038327526132	0.203329633740289	0.218563535911602	0.193849658314351	0.166627218934911	0.219995643650621	0.188636874017516	0.169258920402562	0.183045595396193	0.207019897160742	0.229787234042553	0.168424713110003	0.179021803182086	0.23402436418038	0.186156978059263	0.243052391799544	0.225763166722576	0.222133848426315	0.223072529982867	0.200090029259509	0.206682469804718	0.194763063376202	0.24028711404808	0.21256374594344	0.228522920203735	0.199082568807339	0.212568908489526	0.185758161756342	0.209621993127148	0.179435483870968	0.168399638336347	0.18664990284604	0.171037089534609	0.184286539572501
GCA.015548825.1.ASM1554882v1	0.192710091123861	0.150878031298531	0.178228864599598	0.118826629998854	0	0.149714828897338	0.176510989010989	0.251711973438473	0.167403377535985	0.202409638554217	0.219728949122417	0.205541164545557	0.19238853855515	0.198866213151927	0.19511927008904	0.164597701149425	0.141180612604154	0.203676717856743	0.192054458207789	0.191807617075135	0.160865925128573	0.2154404486968	0.163887943745038	0.157712305025997	0.179836816810104	0.185502991983742	0.223284287401998	0.163270086671352	0.171510242972844	0.226669543640091	0.171484062607106	0.237371994016799	0.231759656652361	0.20684113865932	0.237941380106162	0.202228032283733	0.217787913340935	0.191524233200656	0.230432780847145	0.203185384705469	0.222730391035902	0.191055497624841	0.184277920053446	0.192139737991266	0.196820420958352	0.178866387600407	0.179358374243635	0.178521939953811	0.164856153754327	0.172542610319869
GCA.000599085.1.ASM59908v1	0.173416407061267	0.141489753343969	0.192817932296432	0.166372721928277	0.149714828897338	0	0.170777542870566	0.248300764655905	0.168933844901756	0.218455321059722	0.202733485193622	0.204112279080513	0.195191108086651	0.192137706443359	0.206535211267606	0.174097664543524	0.134835522352091	0.193470513852167	0.189380936033871	0.168969181721573	0.159110455829955	0.223311915229399	0.182780686445608	0.155697853670106	0.194269340974212	0.190040532715692	0.251622840796567	0.156565656565657	0.152679226816736	0.202608599535758	0.182745281913023	0.222340299917346	0.211075069508804	0.191755005889282	0.217669351018475	0.211661807580175	0.205194197473093	0.176923076923077	0.194897236002835	0.184080798364795	0.209056780854059	0.18063979070044	0.194885260874529	0.179716981132075	0.206199770378875	0.181385633050946	0.177228534614033	0.166153116852335	0.171796443899448	0.164189837008629
GCA.000601075.2.ASM60107v2	0.18192945365528	0.173692289526508	0.197484554280671	0.188668555240793	0.176510989010989	0.170777542870566	0	0.271364009860312	0.162649927138213	0.214130905938448	0.207472527472527	0.213768519549961	0.20477180693882	0.212379457277416	0.183469276780859	0.180495567174358	0.178326952082608	0.201241822818494	0.225963130588365	0.210831721470019	0.169405367064665	0.226199543031226	0.192596747055524	0.172855021135611	0.208844665561083	0.201116694584031	0.243065150387926	0.173923112552107	0.192135625147163	0.240525248211807	0.183595074002938	0.246558197747184	0.237265415549598	0.200454029511918	0.21702418986764	0.201798763350197	0.221244925575101	0.199768518518519	0.221261097200091	0.20319555401181	0.217548620533695	0.204719899186619	0.205639387597753	0.206590909090909	0.20952380952381	0.178919100369251	0.180760980015807	0.196848595569765	0.189380530973451	0.160433979686057
GCA.000613425.1.ASM61342v1	0.278390130447973	0.257069683064774	0.274132048966486	0.259997943867585	0.251711973438473	0.248300764655905	0.271364009860312	0	0.273948895449455	0.298519249753208	0.284743051389722	0.271383743293856	0.279011853770296	0.280448065173116	0.274437951866891	0.256288659793814	0.242726604348283	0.274871484729362	0.26091757855637	0.283458879372614	0.256276038884735	0.270187258495987	0.233981868187837	0.227757638529259	0.263496531617573	0.228771431470021	0.303074386577442	0.24344726357727	0.27330779054917	0.271399357288928	0.248846508766533	0.308017748426375	0.299979703673635	0.281301482701812	0.310573142975378	0.264468714912728	0.294165813715455	0.271850765038776	0.306771263418662	0.288185344375721	0.296737122922224	0.270065413768041	0.256387135557559	0.279323850752422	0.232581554571083	0.228580140258156	0.247668818526488	0.2351966873706	0.253919163911699	0.249634120844658
GCA.003475385.1.ASM347538v1	0.170817720960987	0.168536699392239	0.174079335591739	0.171903052064632	0.167403377535985	0.168933844901756	0.162649927138213	0.273948895449455	0	0.189694041867955	0.214106890170894	0.207193292144748	0.184301821335646	0.21576901721266	0.187675070028011	0.183567810917276	0.15644383184011	0.177465407423677	0.21692543188279	0.197160883280757	0.158202667914814	0.220090536753611	0.189069095756499	0.184615384615385	0.194699956197985	0.211236452112365	0.22072451558551	0.176430127249799	0.193334110243561	0.230167125026444	0.162452450212576	0.246507435781884	0.238190065272707	0.204450938518602	0.213422212179415	0.204631485192607	0.224343941931882	0.207975249226538	0.223261580074383	0.223521320495186	0.224274997200761	0.200771324863884	0.211651756491381	0.188252503657027	0.201930459581003	0.187056737588652	0.191636851520572	0.186206896551724	0.189908899789769	0.172208890412524
GCA.000598585.1.ASM59858v1	0.19539494723377	0.195531986911881	0.207231972932967	0.187547456340167	0.202409638554217	0.218455321059722	0.214130905938448	0.298519249753208	0.189694041867955	0	0.243943543290499	0.214384804183118	0.233658587766236	0.23926116838488	0.23266242569611	0.226936466492602	0.208476644846333	0.22978859024753	0.253781868189993	0.225525427420233	0.208178018750706	0.250078247261346	0.234289397357396	0.219416202033454	0.215382985485751	0.206760081292117	0.216158318881975	0.215282392026578	0.222097209720972	0.255404159409897	0.201730665224446	0.25906566481542	0.22876096725872	0.248152976966536	0.24044551212055	0.246420497362472	0.251997408767005	0.240425060881116	0.250326797385621	0.253017384564279	0.255899545356138	0.214951222185685	0.243745381610894	0.221666304111377	0.253183361629881	0.221948344228914	0.21089611933845	0.218531468531469	0.209380989965047	0.199823360565246
GCA.000598525.1.ASM59852v1	0.21906408732303	0.210532341156268	0.231939978563773	0.234627653723463	0.219728949122417	0.202733485193622	0.207472527472527	0.284743051389722	0.214106890170894	0.243943543290499	0	0.241588228930001	0.248112304583644	0.240635888501742	0.223337913539795	0.220211827007944	0.216882386043894	0.225632740980075	0.242895442359249	0.239977912755384	0.197707736389685	0.23083430263297	0.212068402134844	0.210111985807739	0.237675867253786	0.227198785381195	0.266149870801034	0.206021118849697	0.205707762557078	0.257344544793937	0.198420533070089	0.278851463279956	0.275113907572141	0.224548259144998	0.251827242524917	0.250518502346905	0.258594263192468	0.231529306085785	0.230225364560318	0.250140402111648	0.235345773874863	0.236242356864925	0.241519529159979	0.237590999338187	0.239672977624785	0.224166032815386	0.223720267455881	0.22229609929078	0.209243793616291	0.201343784994401
