GCA.003470645.1.ASM347064v1	GCA.015831805.1.ASM1583180v1	GCA.003474465.1.ASM347446v1	GCA.003612665.1.ASM361266v1	GCA.003439865.1.ASM343986v1	GCA.013361135.1.ASM1336113v1	GCA.005844895.1.ASM584489v1	GCA.001405735.1.14207.7.66	GCA.003458305.1.ASM345830v1	GCA.003472085.1.ASM347208v1	GCA.003472925.1.ASM347292v1	GCA.003468975.1.ASM346897v1	GCA.005844955.1.ASM584495v1	GCA.005844935.1.ASM584493v1	GCA.015557725.1.ASM1555772v1	GCA.000699665.1.ASM69966v1	GCA.015550085.1.ASM1555008v1	GCA.015548845.1.ASM1554884v1	GCA.015554355.1.ASM1555435v1	GCA.015555955.1.ASM1555595v1	GCA.015552185.1.ASM1555218v1	GCA.015670595.1.ASM1567059v1	GCA.015558885.1.ASM1555888v1	GCA.003463955.1.ASM346395v1	GCA.000178275.1.ASM17827v1	P18.D7	GCA.015561385.1.ASM1556138v1	GCA.015549745.1.ASM1554974v1	GCA.001578575.1.ASM157857v1	GCA.003465985.1.ASM346598v1	GCA.015550165.1.ASM1555016v1	GCA.015552295.1.ASM1555229v1	GCA.015554165.1.ASM1555416v1	GCA.003466305.1.ASM346630v1	GCA.015548325.1.ASM1554832v1	GCA.003465275.1.ASM346527v1	GCA.009734165.1.ASM973416v1	GCA.004167785.1.ASM416778v1	GCA.015547705.1.ASM1554770v1	GCA.015558455.1.ASM1555845v1	GCA.003459425.1.ASM345942v1	GCA.015554685.1.ASM1555468v1	GCA.015550025.1.ASM1555002v1	GCA.015556825.1.ASM1555682v1	GCA.015557585.1.ASM1555758v1	GCA.015555775.1.ASM1555577v1	GCA.900095495.1.B.ovatus.V975	GCA.015548155.1.ASM1554815v1	GCA.015552205.1.ASM1555220v1	GCA.003363235.1.ASM336323v1
GCA.003470645.1.ASM347064v1	0	0.147430334586829	0.189433560854534	0.112415614910478	0.105342362678706	0.249154865235267	0.245970695970696	0.190616392819831	0.20382226469183	0.220167120458173	0.253219662615636	0.226807956869307	0.223928403203015	0.238263785394933	0.297834773719915	0.325446992956475	0.343484680693983	0.304934867357611	0.330996406975725	0.305224564619615	0.338919755897623	0.323863636363636	0.332179930795848	0.32013753368646	0.322843289726466	0.31310818546079	0.30265619154508	0.312559376781303	0.288528389339513	0.280113100848256	0.352053562506246	0.268098338353901	0.284340538156154	0.261606202737628	0.26382275774949	0.288154683686878	0.28363601787582	0.288119561104805	0.286450662739323	0.258220238637399	0.30553254165516	0.289293422163836	0.320820362570958	0.345400489681707	0.301846125011714	0.299345182413471	0.300354711916403	0.306063085174075	0.28508566613613	0.138195258270982
GCA.015831805.1.ASM1583180v1	0.147430334586829	0	0.189009773188272	0.0942162272634376	0.140335392762577	0.239961941008563	0.234334763948498	0.204676045175352	0.193220338983051	0.210062646828504	0.23671041450288	0.217088055797733	0.203339882121807	0.215804290845549	0.300987797791981	0.341291474762666	0.336986828189597	0.293790914501091	0.349672011661808	0.331742243436754	0.334977238239757	0.323456790123457	0.341992983786859	0.334495448382723	0.32374237804878	0.297103613018812	0.30194013844204	0.288673075017342	0.283539965729261	0.287076167076167	0.316548265775178	0.245941558441558	0.295963302752294	0.253296044746304	0.243100649350649	0.277815833251786	0.258282086887522	0.268422610239716	0.273372327164637	0.275037936267071	0.298427311085539	0.267266679710429	0.31362639458377	0.342241614398691	0.294646346228996	0.289517308629937	0.269907963185274	0.286011735756199	0.259613507710326	0.18558829048602
GCA.003474465.1.ASM347446v1	0.189433560854534	0.189009773188272	0	0.159685863874346	0.205726118663906	0.278283712784588	0.29530495831505	0.268629589240276	0.255210237659963	0.269099406794895	0.26075993391879	0.271254339891391	0.26907123534716	0.280528052805281	0.338376646493414	0.350593124945883	0.381663867032093	0.355713245997089	0.389702170620899	0.374791392182697	0.363890343984634	0.378704123244223	0.384131971720346	0.341758632965468	0.37541644748378	0.342703294697454	0.357571415778633	0.347695664030543	0.342442987720432	0.326657645466847	0.380652547223812	0.312093628088427	0.348856900931414	0.299029481779894	0.276983094928479	0.302363195255638	0.316048034934498	0.321806825382457	0.307875474027692	0.334904836738257	0.3503263362145	0.3300395256917	0.353689567430025	0.35991940223323	0.340032298582451	0.345812807881773	0.337062167614157	0.32607180202161	0.32556471853711	0.196230982019364
GCA.003612665.1.ASM361266v1	0.112415614910478	0.0942162272634376	0.159685863874346	0	0.126306360107495	0.238416988416988	0.226124818577649	0.204143201930813	0.176720647773279	0.19749652294854	0.239344890336175	0.204757691929618	0.209172482552343	0.206186582602699	0.293632075471698	0.330155400896177	0.325334113745	0.275271848570278	0.324958433401072	0.312542372881356	0.314796998268232	0.316290726817043	0.318264884101183	0.311124213836478	0.308525033829499	0.279175507729615	0.304640348273474	0.283371894175636	0.271927131306929	0.252269326683292	0.313521545319465	0.230785081392953	0.287813953488372	0.24416953964713	0.235318359777457	0.272618929387228	0.262384212645993	0.264043256233103	0.274053896293414	0.2616894362132	0.274177855613933	0.252779984114376	0.30289252200832	0.334254907381808	0.267301209597462	0.272835230084117	0.261425959780622	0.27784178187404	0.250396196513471	0.152455272173582
GCA.003439865.1.ASM343986v1	0.105342362678706	0.140335392762577	0.205726118663906	0.126306360107495	0	0.239810602543868	0.2464172715429	0.208112023177209	0.213487513361189	0.216187840030543	0.250092148912643	0.223356009070295	0.221530504740925	0.242567695512214	0.287239066780013	0.318348623853211	0.338585631213656	0.290728028618389	0.325442733825754	0.299366616989568	0.330495141138362	0.322934719815136	0.328830495928942	0.318598280910551	0.327879520312355	0.307916181606519	0.292641186537365	0.310085007727975	0.278727165586329	0.276351092372557	0.344655751042408	0.248393792626273	0.284472717498432	0.245011194393069	0.253929030344964	0.268702290076336	0.260949434400077	0.269090209655703	0.290177736202058	0.250717260527534	0.30077649920479	0.275970619097587	0.301637513956085	0.330136743029657	0.296751452796037	0.286230505895778	0.280491371746125	0.293248360580031	0.279337584467498	0.144060811429618
GCA.013361135.1.ASM1336113v1	0.249154865235267	0.239961941008563	0.278283712784588	0.238416988416988	0.239810602543868	0	0.222352834795189	0.200787401574803	0.211052433044134	0.192585727525487	0.222928795342588	0.218316967972837	0.221684954435559	0.190620689655172	0.267522935779817	0.304200481583876	0.31753986332574	0.315503003003003	0.34025974025974	0.32500678794461	0.307969059183306	0.32180577624077	0.338908371549321	0.324403669724771	0.330442637759711	0.297617926748894	0.289631612962792	0.305578996718237	0.309957122439257	0.29705088845474	0.362704514094224	0.271524448705657	0.319156353494858	0.249197052711128	0.278811121764142	0.299731307328824	0.290540540540541	0.275884604612081	0.300372625647551	0.319302032739701	0.324122886747864	0.296406076324565	0.319410541542356	0.347904967602592	0.291581868640148	0.301320528211285	0.313150425733207	0.291921005385996	0.287430683918669	0.208333333333333
GCA.005844895.1.ASM584489v1	0.245970695970696	0.234334763948498	0.29530495831505	0.226124818577649	0.2464172715429	0.222352834795189	0	0.180494221554073	0.145287834388884	0.160427310729215	0.210412926391382	0.189293598233996	0.193028241215398	0.15963133640553	0.277609195402299	0.30586342509832	0.327305936073059	0.310507007807356	0.337613882863341	0.33200290275762	0.349679978364735	0.316844669289863	0.325522710886806	0.341977011494253	0.324762335898597	0.328992072480181	0.343512863224135	0.328007518796992	0.317478510028653	0.272659455427079	0.348088133583638	0.25708793849111	0.290069001659534	0.265410472493135	0.25747236905334	0.272288261515602	0.27833693914025	0.256035934868052	0.302787392967754	0.283151537005319	0.295800309738544	0.291802061089964	0.286516853932584	0.352554112554113	0.299953639313862	0.304516845612736	0.295969653864391	0.26927575348628	0.28837424733673	0.252431516016775
GCA.001405735.1.14207.7.66	0.190616392819831	0.204676045175352	0.268629589240276	0.204143201930813	0.208112023177209	0.200787401574803	0.180494221554073	0	0.0908912446014919	0.113167534220166	0.137594194808819	0.125846770346341	0.108531630876378	0.132613060522038	0.273368943151469	0.305918310641845	0.32379960223506	0.28828125	0.333572839949704	0.313081914793567	0.330779293589983	0.309734513274336	0.340121438580103	0.322968332697444	0.331143232588699	0.292307692307692	0.28468554968795	0.300419553127134	0.283659093164004	0.266815058550276	0.321274409044193	0.242460555222688	0.288298064749503	0.231465093411996	0.230277611344118	0.255083357425075	0.251171875	0.255949490043711	0.260980447718901	0.255466267987292	0.308331758926885	0.279768786127168	0.295255988727102	0.326642172237656	0.268616509524726	0.270143090367809	0.273586763836912	0.295039164490862	0.271818531334102	0.207470414201183
GCA.003458305.1.ASM345830v1	0.20382226469183	0.193220338983051	0.255210237659963	0.176720647773279	0.213487513361189	0.211052433044134	0.145287834388884	0.0908912446014919	0	0.0886517943743938	0.159382311651848	0.113948353652683	0.121277009927974	0.124194324194324	0.269289827255278	0.306810770520824	0.32120057170081	0.275550314465409	0.326287262872629	0.314977765162267	0.329197217522091	0.309912907329484	0.316793534442252	0.309021113243762	0.304815864022663	0.289221970219899	0.310984445947251	0.289347079037801	0.280479281078382	0.238484759957153	0.308090213118146	0.236180904522613	0.290340185555758	0.226400158321789	0.208643216080402	0.235915834383787	0.250786163522013	0.234874401329293	0.276822198992683	0.263207369806355	0.285687131724007	0.267351686700271	0.304413571496078	0.333573681838666	0.28460793804453	0.27142719103295	0.262636273538157	0.284615384615385	0.262862669245648	0.21968005952381
GCA.003472085.1.ASM347208v1	0.220167120458173	0.210062646828504	0.269099406794895	0.19749652294854	0.216187840030543	0.192585727525487	0.160427310729215	0.113167534220166	0.0886517943743938	0	0.156103394351946	0.128925775723852	0.135564053537285	0.124468386730933	0.253441448236847	0.29425771590805	0.310364198108791	0.274850414977803	0.342928216062544	0.311204091120409	0.319290465631929	0.305910619894282	0.310612357993904	0.3071846124835	0.306421677802524	0.292727800910235	0.305874537344595	0.285893356474785	0.28889324576022	0.242659014825442	0.319935038570849	0.233820047355959	0.287656529516995	0.216090167120093	0.241910023677979	0.254595675778646	0.246477513993438	0.25199193625804	0.283593239331404	0.281781226903178	0.285020545386627	0.261664444867644	0.305098913346336	0.336051768460243	0.288512742487638	0.283151400094922	0.275398987933048	0.261110086667896	0.257457723731712	0.209361857743646
