isolate	sample	host_site	site	host	genus_sp	classification	taxonomy_Genus	taxonomy_Species	Completeness	Contamination	GC	GC std	Genome.size	# ambiguous bases	# scaffolds	# contigs	Longest scaffold	Longest contig	N50 (scaffolds)	N50 (contigs)	Mean scaffold length	Mean contig length	Coding density	Translation table	predicted.genes	percent_mapped	coverage_mean	coverage_std	dataset	isolation_source	infection_status	included_analysis	isolate_old
P19.10A	COL_Gorilla02	gorilla_Columbus_Zoo	Columbus_Zoo	gorilla	Gorilla_gorilla_gorilla	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens	Bacteroides	Bacteroides_xylanisolvens	99.46062567421791	0.6580366774541532	0.416866950573917	0.02068302581971759	5888311	3	59	59	693275	693275	171372	171372	99801.8813559322	99801.83050847458	0.9035183433755453	11	4629	98.817	103.511	25.301	isolate_genomes	stool	FALSE	1	P19-10A
GCA.014131755.1.ASM1413175v1	SAMN11776005	human_not determined	not determined	human	Homo sapiens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	Bacteroides	Bacteroides_thetaiotaomicron	99.41439358915088	0.4045307443365696	0.4287600332032982	0.03085412674907327	6304193	0	2	2	6271157	6271157	6271157	6271157	3152096.5	3152096.5	0.8979103273012105	11	4930	NA	NA	NA	ncbi_genomes	missing	FALSE	1	GCA_014131755.1_ASM1413175v1
GCA.000011065.1.ASM1106v1	SAMN02604314	missing_missing	missing	missing	missing	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	Bacteroides	Bacteroides_thetaiotaomicron	99.41439358915088	0.4045307443365696	0.42860289010755553	0.03096642849506958	6293399	0	2	2	6260361	6260361	6260361	6260361	3146699.5	3146699.5	0.8976551462889927	11	4944	NA	NA	NA	ncbi_genomes	stool	FALSE	1	GCA_000011065.1_ASM1106v1
GCA.001314975.1.ASM131497v1	SAMN03852684	human_USA:Woods Hole	USA:Woods Hole	human	Homo sapiens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	Bacteroides	Bacteroides_thetaiotaomicron	99.41439358915088	0.24271844660194175	0.42690697837518315	0	6487685	0	1	1	6487685	6487685	6487685	6487685	6487685	6487685	0.8953709990543622	11	5077	NA	NA	NA	ncbi_genomes	stool	FALSE	1	GCA_001314975.1_ASM131497v1
GCA.016117715.1.ASM1611771v1	SAMN13450465	missing_Not applicable	Not applicable	missing	missing	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	Bacteroides	Bacteroides_thetaiotaomicron	99.29881337648328	0.08090614886731391	0.42904262673311255	0.008922421408480563	6218897	100	2	2	6216145	6216045	6216145	6216045	3109448.5	3109398.5	0.8984832840936262	11	4797	NA	NA	NA	ncbi_genomes	missing	FALSE	1	GCA_016117715.1_ASM1611771v1
GCA.012151035.1.ASM1215103v1	SAMD00198302	human_missing	missing	human	Homo sapiens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	Bacteroides	Bacteroides_thetaiotaomicron	99.41439358915088	0.08090614886731391	0.42742803962187254	0.04879507002777221	6283774	73	5	6	6224560	5064908	6224560	5064908	1256754.8	1047283.5	0.8987084831504125	11	4914	NA	NA	NA	ncbi_genomes	missing	FALSE	1	GCA_012151035.1_ASM1215103v1
GCA.002959695.1.ASM295969v1	SAMN08570053	missing_missing	missing	missing	missing	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	Bacteroides	Bacteroides_thetaiotaomicron	99.25258129141625	0.7281553398058253	0.42849580569659995	0.023318140321555308	6481410	0	17	17	4144501	4144501	4144501	4144501	381259.4117647059	381259.4117647059	0.8910004150331486	11	5139	NA	NA	NA	ncbi_genomes	missing	FALSE	1	GCA_002959695.1_ASM295969v1
GCA.016103195.1.ASM1610319v1	SAMN13450442	missing_Not applicable	Not applicable	missing	missing	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	Bacteroides	Bacteroides_thetaiotaomicron	99.41439358915088	2.0226537216828477	0.4274703892766566	0.027462600775184243	6639571	0	12	12	2337905	2337905	1645408	1645408	553297.5833333334	553297.5833333334	0.88836658272048	11	5412	NA	NA	NA	ncbi_genomes	missing	FALSE	1	GCA_016103195.1_ASM1610319v1
GCA.900445585.1.43651.D01	SAMEA4598409	missing_missing	missing	missing	missing	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	Bacteroides	Bacteroides_thetaiotaomicron	99.29881337648328	1.8069039913700105	0.42875998919547625	0.02534327220728588	6364001	0	13	13	5631498	5631498	5631498	5631498	489538.53846153844	489538.53846153844	0.8983570241425166	11	4936	NA	NA	NA	ncbi_genomes	blood	FALSE	1	GCA_900445585.1_43651_D01
GCA.016888545.1.ASM1688854v1	SAMN16357368	missing_USA:MD	USA:MD	missing	missing	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	Bacteroides	Bacteroides_thetaiotaomicron	99.41439358915088	0.4045307443365696	0.42854358182409064	0.0247016636474001	6351088	0	6	6	3947189	3947189	3947189	3947189	1058514.6666666667	1058514.6666666667	0.8964289268232467	11	4984	NA	NA	NA	ncbi_genomes	missing	FALSE	1	GCA_016888545.1_ASM1688854v1
