iso1	iso2	comp	name	geneGainLoss	cluster_size	is_dup
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_10088_group_6490_40	iso1_gain	108	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_9889_group_9976_27	iso1_gain	103	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_3312_helD_33	iso1_gain	62	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_250_group_4371_46	iso2_gain	59	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_4387_group_8444_75	iso2_gain	58	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	glmS_group_9263_11	iso2_gain	54	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_1642_group_552_89	iso2_gain	50	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_110_group_2489_43	iso2_gain	46	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_2557_group_9404_31	iso2_gain	43	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_4592_group_9801_22	iso1_gain	42	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_6438_group_9838_21	iso1_gain	33	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_6453_group_9849_19	iso1_gain	31	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_13225_kpsD_76	iso2_gain	29	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_10164_rfbF_1_5	iso2_gain	25	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_3490_group_9789_29	iso1_gain	23	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_10105_xerC_28_50	iso1_gain	23	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_16920_group_2519_80	iso2_gain	21	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_9989_group_9997_70	iso1_gain	20	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_5468_rfaH_1_12	iso1_gain	19	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_3493_group_4898_59	iso2_gain	19	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_6426_group_6433_24	iso1_gain	18	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_1091_group_9839_20	iso1_gain	18	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_505_group_6118_72	iso2_gain	18	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_10028_group_8_69	iso2_loss	17	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_10012_group_9998_71	iso1_gain	17	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_4883_pal_4_60	iso2_gain	16	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_4675_resA_3_86	iso1_loss	15	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_10100_group_1851_34	iso1_gain	15	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_4626_group_8665_83	iso2_loss	14	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_5892_group_6512_46	iso1_gain	14	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_4848_group_6077_63	iso2_loss	13	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_2379_group_4375_5	iso1_loss	13	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_3337_group_3338_5	iso1_gain	13	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_16908_group_6570_66	iso2_gain	13	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_21339_wbbD_27	iso2_loss	12	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_4863_group_68_39	iso2_gain	12	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_2461_group_6486_60	iso1_gain	12	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_2470_group_6087_45	iso1_gain	12	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_1909_group_3499_69	iso2_gain	12	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_16894_pbpC_1_61	iso2_gain	12	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_9979_xerC_4_10	iso1_gain	12	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_8701_lagD_28	iso1_loss	11	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_4373_xerC_14_20	iso2_gain	11	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_16926_group_16935_81	iso2_gain	11	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_1287_group_77_82	iso2_loss	10	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_38_group_6636_33	iso1_loss	10	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_8917_oatA_2_38	iso2_gain	10	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_4935_group_9306_8	iso2_gain	10	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_1086_group_3307_26	iso2_gain	10	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_9471_tll_50	iso2_gain	10	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	bin3_group_6422_31	iso2_loss	10	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_10617_wbgU_3_58	iso2_gain	10	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_6223_group_9303_39	iso2_loss	9	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_422_group_6967_63	iso2_gain	9	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	add_group_8179_62	iso2_gain	9	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_145_group_6464_67	iso2_loss	8	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_1891_group_21271_95	iso1_loss	8	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_2443_group_8764_68	iso2_gain	8	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_10603_group_6673_90	iso1_loss	8	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_10758_group_39_57	iso2_gain	8	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	lldR_mdtG_54	iso1_loss	7	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_10406_group_2713_11	iso1_gain	7	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_10100_group_490_65	iso1_gain	7	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_10441_group_6633_24	iso1_loss	7	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_10015_group_4126_74	iso1_gain	7	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_1781_group_40_64	iso2_loss	7	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_9866_pglA_2_16	iso1_gain	7	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_2271_group_5265_32	iso2_gain	7	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	rfbV_wfeD_91	iso2_gain	7	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_218_group_8868_27	iso1_loss	6	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_1810_group_6178_3	iso2_gain	6	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_101_group_209_76	iso1_loss	6	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_3189_group_8553_68	iso1_gain	6	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_4602_group_9863_17	iso1_gain	6	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_1871_tolB_2_14	iso1_gain	6	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_64_xerC_28_48	iso1_gain	6	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_10097_group_3029_50	iso2_loss	5	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_27_group_813_47	iso2_loss	5	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_4479_group_549_60	iso2_loss	5	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_1394_group_4528_35	iso2_loss	5	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	cas2_2_group_8846_22	iso1_loss	5	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_2193_group_4550_31	iso1_loss	5	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_4449_group_4938_45	iso2_gain	5	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	gnu_1_iolG_79	iso2_loss	5	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_1806_group_613_49	iso1_loss	5	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	fic_group_3155_84	iso1_loss	5	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_6369_group_825_19	iso2_gain	5	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	glnA_3_group_10825_19	iso1_loss	5	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_10801_group_10805_73	iso2_gain	5	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_6413_group_9769_32	iso1_gain	5	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_16872_group_16876_24	iso2_gain	5	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_10456_group_4308_56	iso1_loss	4	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_5432_rpoE_9	iso1_gain	4	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_1416_group_4260_26	iso1_loss	4	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	algU_4_group_4185_92	iso1_loss	4	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_2675_group_870_7	iso1_gain	4	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	capD_2_group_8486_64	iso1_loss	4	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_24_group_437_37	iso1_loss	4	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_2195_group_5780_30	iso1_loss	4	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_212_group_88_72	iso2_loss	4	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	purT_1_wbgU_1_24	iso2_loss	4	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_1816_group_618_25	iso1_gain	4	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_11544_group_370_10	iso2_gain	4	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	cusC_3_rcsC_27_13	iso1_loss	4	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_5552_lpxD_2_23	iso1_gain	4	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_1865_group_4623_74	iso2_loss	4	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_3061_rhaR_8_39	iso1_loss	4	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_13256_group_642_94	iso1_loss	4	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_39_group_39_70	iso2_gain	4	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_9296_group_9774_30	iso1_gain	4	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_10091_group_10093_43	iso1_gain	4	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_16881_group_16884_36	iso2_gain	4	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_16909_group_16912_67	iso2_gain	4	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_118_group_356_83	iso1_loss	3	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_21237_group_6_80	iso2_loss	3	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_2982_group_5817_44	iso2_loss	3	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_3_group_35_1	iso2_loss	3	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_173_group_9160_60	iso1_loss	3	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_10627_group_5655_42	iso1_loss	3	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_174_group_67_72	iso1_loss	3	0
GCA.000273135.1.Bact.frag.CL05T12C13.V1	GCA.003363115.1.ASM336311v1	GCA.000273135.1.Bact.frag.CL05T12C13.V1_GCA.003363115.1.ASM336311v1	group_392_group_511_51	iso1_loss	3	0
