isolate	sample	host_site	site	host	genus_sp	classification	taxonomy_Genus	taxonomy_Species	Completeness	Contamination	GC	GC std	Genome.size	# ambiguous bases	# scaffolds	# contigs	Longest scaffold	Longest contig	N50 (scaffolds)	N50 (contigs)	Mean scaffold length	Mean contig length	Coding density	Translation table	predicted.genes	percent_mapped	coverage_mean	coverage_std	dataset	isolation_source	infection_status	included_analysis	isolate_old
P15.A8	HOU_Orang01	orangutan_Houston_Zoo	Houston_Zoo	orangutan	Pongo_pygmaeus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	Bacteroides	Bacteroides_fragilis	99.25650557620818	0	0.43571050547743984	0.01897221416889978	5269890	1	22	22	1142084	1142083	567352	567352	239540.45454545456	239540.4090909091	0.8934510967022082	11	4383	99.194	126.131	26.247	isolate_genomes	stool	FALSE	1	P15-A8
P15.C8	HOU_Orang01	orangutan_Houston_Zoo	Houston_Zoo	orangutan	Pongo_pygmaeus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	Bacteroides	Bacteroides_fragilis	99.25650557620818	0	0.4357248047872313	0.024460735737587582	5270023	4	24	24	1199644	1199643	567352	567352	219584.29166666666	219584.125	0.8932353805666503	11	4379	99.025	138.102	34.313	isolate_genomes	stool	FALSE	1	P15-C8
P15.D8	HOU_Orang01	orangutan_Houston_Zoo	Houston_Zoo	orangutan	Pongo_pygmaeus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	Bacteroides	Bacteroides_fragilis	99.25650557620818	0	0.4357508002248748	0.01654052113543878	5272269	1	26	26	990965	990965	501978	501978	202779.57692307694	202779.53846153847	0.8930358067845172	11	4384	98.899	89.163	20.463	isolate_genomes	stool	FALSE	1	P15-D8
P15.E8	HOU_Orang01	orangutan_Houston_Zoo	Houston_Zoo	orangutan	Pongo_pygmaeus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	Bacteroides	Bacteroides_fragilis	99.25650557620818	0	0.4357363118653588	0.022637584461896464	5269715	5	24	24	823200	823199	501978	501978	219571.45833333334	219571.25	0.8934287717646969	11	4387	99.084	146.491	32.675	isolate_genomes	stool	FALSE	1	P15-E8
P16.A1	HOU_Orang05	orangutan_Houston_Zoo	Houston_Zoo	orangutan	Pongo_pygmaeus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	Bacteroides	Bacteroides_fragilis	99.25650557620818	0	0.4346259450729278	0.02442558120186722	5199736	5	23	23	1137809	1137807	579264	579264	226075.47826086957	226075.26086956522	0.893513055278191	11	4311	98.746	78.293	16.785	isolate_genomes	stool	FALSE	1	P16-A1
P16.G1	HOU_Orang05	orangutan_Houston_Zoo	Houston_Zoo	orangutan	Pongo_pygmaeus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	Bacteroides	Bacteroides_fragilis	99.25650557620818	0	0.43466244754520494	0.017969184626307887	5204246	3	14	14	1432774	1432773	666667	666667	371731.85714285716	371731.64285714284	0.8935167553570681	11	4310	98.792	105.404	21.909	isolate_genomes	stool	FALSE	1	P16-G1
P16.H2	HOU_Orang05	orangutan_Houston_Zoo	Houston_Zoo	orangutan	Pongo_pygmaeus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	Bacteroides	Bacteroides_fragilis	99.25650557620818	0	0.4346611466841184	0.020857808652324315	5202915	0	23	23	778223	778223	567290	567290	226213.69565217392	226213.69565217392	0.8935612055934029	11	4309	92.744	24.397	7.284	isolate_genomes	stool	FALSE	1	P16-H2
P16.A3	HOU_Orang06	orangutan_Houston_Zoo	Houston_Zoo	orangutan	Pongo_pygmaeus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	Bacteroides	Bacteroides_fragilis	99.25650557620818	0	0.4346508349723802	0.017380361834703918	5204246	2	16	16	1199272	1199270	666617	666617	325265.375	325265.25	0.8936681701825778	11	4309	98.994	118.884	24.915	isolate_genomes	stool	FALSE	1	P16-A3
P16.C3	HOU_Orang06	orangutan_Houston_Zoo	Houston_Zoo	orangutan	Pongo_pygmaeus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	Bacteroides	Bacteroides_fragilis	99.25650557620818	0	0.43465303362209967	0.02600762548344698	5203635	4	19	19	1199853	1199851	599987	599987	273875.5263157895	273875.3157894737	0.8938003914571256	11	4311	98.877	112.716	22.632	isolate_genomes	stool	FALSE	1	P16-C3
P16.F3	HOU_Orang06	orangutan_Houston_Zoo	Houston_Zoo	orangutan	Pongo_pygmaeus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	Bacteroides	Bacteroides_fragilis	99.25650557620818	0	0.4346384272034744	0.026546189295770614	5200575	4	22	22	1199563	1199562	567290	567290	236389.77272727274	236389.5909090909	0.893742518856088	11	4309	98.652	100.257	21.11	isolate_genomes	stool	FALSE	1	P16-F3
P16.H3	HOU_Orang06	orangutan_Houston_Zoo	Houston_Zoo	orangutan	Pongo_pygmaeus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	Bacteroides	Bacteroides_fragilis	99.25650557620818	0	0.43464684663763614	0.024942751374625982	5201880	4	26	26	666967	666967	483999	483999	200072.3076923077	200072.15384615384	0.8936803617153798	11	4309	98.261	51.1	12.279	isolate_genomes	stool	FALSE	1	P16-H3
P16.A4	HOU_Orang06	orangutan_Houston_Zoo	Houston_Zoo	orangutan	Pongo_pygmaeus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	Bacteroides	Bacteroides_fragilis	99.25650557620818	0	0.434639220524012	0.021967126102535515	5201753	2	19	19	1433054	1433053	586340	586340	273776.4736842105	273776.36842105264	0.89371275414269	11	4308	98.817	97.578	22.363	isolate_genomes	stool	FALSE	1	P16-A4
GCA.001286525.1.BFBE1.1	SAMEA3501569	missing_missing	missing	missing	missing	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	Bacteroides	Bacteroides_fragilis	99.25650557620818	0	0.4309083098813309	0	5188967	0	1	1	5188967	5188967	5188967	5188967	5188967	5188967	0.887212233186297	11	4224	NA	NA	NA	ncbi_genomes	saliva	FALSE	1	GCA_001286525.1_BFBE1.1
GCA.005706655.1.ASM570665v1	SAMN11040710	human_United Kingdom:London	United Kingdom:London	human	Homo sapiens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	Bacteroides	Bacteroides_fragilis	99.25650557620818	0	0.4311429532404893	0.07691303469602469	5241693	0	2	2	5205133	5205133	5205133	5205133	2620846.5	2620846.5	0.8898319684117326	11	4349	NA	NA	NA	ncbi_genomes	appendix	FALSE	1	GCA_005706655.1_ASM570665v1
GCA.016864615.1.ASM1686461v1	SAMN12869706	human_Denmark	Denmark	human	Homo sapiens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis_A	Bacteroides	Bacteroides_fragilis_A	99.25650557620818	0.8674101610904585	0.43326901912217236	0	5380874	0	1	1	5380874	5380874	5380874	5380874	5380874	5380874	0.8913819576522327	11	4568	NA	NA	NA	ncbi_genomes	blood	FALSE	1	GCA_016864615.1_ASM1686461v1
GCA.008369705.1.ASM836970v1	SAMN12675660	human_South Korea	South Korea	human	Homo sapiens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	Bacteroides	Bacteroides_fragilis	99.25650557620818	0	0.4312816609698832	0.04491886399930152	5419725	0	2	2	5330584	5330584	5330584	5330584	2709862.5	2709862.5	0.8869824575970183	11	4512	NA	NA	NA	ncbi_genomes	stool	FALSE	1	GCA_008369705.1_ASM836970v1
