GCA.000598305.1.ASM59830v1	GCA.000598765.2.ASM59876v2	GCA.003472195.1.ASM347219v1	GCA.003458955.1.ASM345895v1	GCA.015548825.1.ASM1554882v1	GCA.000599085.1.ASM59908v1	GCA.000601075.2.ASM60107v2	GCA.000613425.1.ASM61342v1	GCA.003475385.1.ASM347538v1	GCA.000598585.1.ASM59858v1	GCA.000598525.1.ASM59852v1	GCA.002811065.1.Bfra.12905.v1	GCA.015556305.1.ASM1555630v1	GCA.000599305.1.ASM59930v1	GCA.007896605.1.ASM789660v1	GCA.007896745.1.ASM789674v1	GCA.000598705.1.ASM59870v1	GCA.000599065.2.ASM59906v2	GCA.003852685.1.ASM385268v1	GCA.004167855.1.ASM416785v1	GCA.001699875.1.ASM169987v1	GCA.000599145.2.ASM59914v2	GCA.014042405.1.ASM1404240v1	P16.C3	GCA.000273155.1.Bact.frag.CL07T12C05.V1	GCA.015553295.1.ASM1555329v1	GCA.007896595.1.ASM789659v1	GCA.000598645.1.ASM59864v1	GCA.015831745.1.ASM1583174v1	GCA.004798445.1.ASM479844v1	GCA.015558985.1.ASM1555898v1	GCA.000598445.1.ASM59844v1	GCA.000599185.2.ASM59918v2	GCA.014042525.1.ASM1404252v1	GCA.000598365.1.ASM59836v1	GCA.003363115.1.ASM336311v1	GCA.000273765.1.Bact.frag.CL05T00C42.V1	GCA.003469305.1.ASM346930v1	GCA.000598425.1.ASM59842v1	GCA.000598505.1.ASM59850v1	GCA.000598905.1.ASM59890v1	GCA.015669295.1.ASM1566929v1	GCA.013327815.1.ASM1332781v1	GCA.000273115.1.Bact.frag.CL03T12C07.V1	GCA.003466635.1.ASM346663v1	GCA.003439635.1.ASM343963v1	GCA.015551365.1.ASM1555136v1	GCA.014042465.1.ASM1404246v1	GCA.000598805.1.ASM59880v1	GCA.902374115.1.MGYG.HGUT.01337
GCA.000598305.1.ASM59830v1	0	0.00665327816530439	0.00693938457407547	0.00844417110685011	0.00784249984550041	0.00684583058552796	0.00682947217427782	0.00741431472354747	0.00721889503051035	0.00699961749031075	0.00714619412560487	0.00716734218737799	0.00752524369700801	0.00787998400645676	0.00745859231010749	0.00703367349155343	0.00767156985083194	0.00735932624306129	0.00775364108114143	0.00711303509312347	0.00725638226490978	0.00755882955450711	0.00720709611381888	0.0074974078083983	0.00758786321791346	0.008287145218235	0.00794459886005721	0.00726562690366577	0.00707605766654722	0.00735325641327505	0.00740783666783843	0.0087635475834177	0.0095375163243304	0.00936556052823559	0.0104223719866421	0.01049354244185	0.0108569765025742	0.0108725229179084	0.0109791306157595	0.0114046833835087	0.011174479520893	0.00999492516295717	0.00787809273671021	0.00716688968757947	0.00778807740831591	0.00789609681893219	0.00798321567936467	0.00725746002144819	0.00753418186425834	0.00462455570794569
GCA.000598765.2.ASM59876v2	0.00665327816530439	0	0.00513552966819655	0.00664031620097118	0.00603864493962149	0.00627348101627792	0.00625712260502778	0.00718869517049926	0.00699327547746214	0.00677399793726254	0.00692057457255666	0.00694172263432978	0.0072996241439598	0.00765436445340855	0.00723297275705928	0.00680805393850522	0.00744595029778373	0.00713370669001308	0.00752802152809322	0.00688741554007526	0.00703076271186157	0.0073332100014589	0.00698147656077067	0.00727178825535009	0.00736224366486525	0.00806152566518679	0.007718979307009	0.00704000735061756	0.00685043811349901	0.00712763686022684	0.00718221711479022	0.00853792803036949	0.00931189677128219	0.00913994097518738	0.0101967524335939	0.0102679228888018	0.010631356949526	0.0106469033648602	0.0107535110627112	0.0111790638304605	0.0109488599678448	0.00976930560990896	0.007652473183662	0.00694127013453126	0.0075624578552677	0.00767047726588398	0.00775759612631646	0.00703184046839998	0.00730856231121013	0.00642580574626604
GCA.003472195.1.ASM347219v1	0.00693938457407547	0.00513552966819655	0	0.00540384011324599	0.0048021688518963	0.00655958742504899	0.00654322901379886	0.00747480157927034	0.00727938188623322	0.00706010434603362	0.00720668098132774	0.00722782904310085	0.00758573055273088	0.00794047086217963	0.00751907916583036	0.0070941603472763	0.00773205670655481	0.00741981309878416	0.0078141279368643	0.00717352194884634	0.00731686912063265	0.00761931641022998	0.00726758296954174	0.00755789466412116	0.00764835007363633	0.00834763207395786	0.00800508571578008	0.00732611375938864	0.00713654452227009	0.00741374326899792	0.0074683235235613	0.00882403443914057	0.00959800318005326	0.00942604738395846	0.010482858842365	0.0105540292975729	0.0109174633582971	0.0109330097736313	0.0110396174714823	0.0114651702392316	0.0112349663766159	0.01005541201868	0.00793857959243307	0.00722737654330233	0.00784856426403878	0.00795658367465506	0.00804370253508754	0.00731794687717106	0.0075946687199812	0.00671191215503712
GCA.003458955.1.ASM345895v1	0.00844417110685011	0.00664031620097118	0.00540384011324599	0	0.00406021493455584	0.00806437395782363	0.00804801554657349	0.00897958811204497	0.00878416841900785	0.00856489087880825	0.00871146751410237	0.00873261557587549	0.00909051708550551	0.00944525739495426	0.00902386569860499	0.00859894688005093	0.00923684323932944	0.00892459963155879	0.00931891446963893	0.00867830848162097	0.00882165565340728	0.00912410294300461	0.00877236950231638	0.0090626811968958	0.00915313660641096	0.0098524186067325	0.00950987224855471	0.00883090029216327	0.00864133105504472	0.00891852980177255	0.00897311005633594	0.0103288209719152	0.0111027897128279	0.0109308339167331	0.0119876453751396	0.0120588158303475	0.0124222498910717	0.0124377963064059	0.012544404004257	0.0129699567720062	0.0127397529093905	0.0115601985514547	0.00944336612520771	0.00873216307607697	0.00935335079681341	0.00946137020742969	0.00954848906786217	0.00882273340994569	0.00909945525275584	0.00821669868781176
GCA.015548825.1.ASM1554882v1	0.00784249984550041	0.00603864493962149	0.0048021688518963	0.00406021493455584	0	0.00746270269647393	0.0074463442852238	0.00837791685069528	0.00818249715765816	0.00796321961745856	0.00810979625275268	0.00813094431452579	0.00848884582415582	0.00884358613360457	0.0084221944372553	0.00799727561870124	0.00863517197797975	0.0083229283702091	0.00871724320828923	0.00807663722027128	0.00821998439205759	0.00852243168165491	0.00817069824096668	0.00846100993554611	0.00855146534506127	0.00925074734538281	0.00890820098720502	0.00822922903081358	0.00803965979369503	0.00831685854042286	0.00837143879498624	0.00972714971056551	0.0105011184514782	0.0103291626553834	0.0113859741137899	0.0114571445689978	0.0118205786297221	0.0118361250450562	0.0119427327429073	0.0123682855106565	0.0121380816480409	0.010958527290105	0.00884169486385802	0.00813049181472728	0.00875167953546372	0.00885969894608	0.00894681780651248	0.008221062148596	0.00849778399140614	0.00761502742646206
GCA.000599085.1.ASM59908v1	0.00684583058552796	0.00627348101627792	0.00655958742504899	0.00806437395782363	0.00746270269647393	0	0.00508379226078712	0.00738124759072283	0.0071858278976857	0.0069665503574861	0.00711312699278023	0.00713427505455334	0.00749217656418337	0.00784691687363212	0.00742552517728284	0.00700060635872878	0.0076385027180073	0.00732625911023665	0.00772057394831678	0.00707996796029883	0.00722331513208514	0.00752576242168246	0.00717402898099423	0.00746434067557365	0.00755479608508881	0.00825407808541035	0.00791153172723257	0.00723255977084112	0.00704299053372257	0.0073201892804504	0.00737476953501379	0.00873048045059305	0.00950444919150575	0.00933249339541094	0.0103893048538175	0.0104604753090254	0.0108239093697496	0.0108394557850838	0.0109460634829348	0.0113716162506841	0.0111414123880684	0.00996185803013252	0.00784502560388556	0.00713382255475482	0.00775501027549127	0.00786302968610754	0.00795014854654003	0.00722439288862354	0.00750111473143369	0.00661835816648961
GCA.000601075.2.ASM60107v2	0.00682947217427782	0.00625712260502778	0.00654322901379886	0.00804801554657349	0.0074463442852238	0.00508379226078712	0	0.00736488917947269	0.00716946948643557	0.00695019194623597	0.00709676858153009	0.00711791664330321	0.00747581815293323	0.00783055846238198	0.00740916676603271	0.00698424794747865	0.00762214430675716	0.00730990069898651	0.00770421553706665	0.00706360954904869	0.007206956720835	0.00750940401043233	0.0071576705697441	0.00744798226432352	0.00753843767383868	0.00823771967416022	0.00789517331598243	0.00721620135959099	0.00702663212247244	0.00730383086920027	0.00735841112376365	0.00871412203934292	0.00948809078025562	0.00931613498416081	0.0103729464425673	0.0104441168977752	0.0108075509584995	0.0108230973738336	0.0109297050716847	0.0113552578394339	0.0111250539768183	0.00994549961888239	0.00782866719263543	0.00711746414350469	0.00773865186424113	0.00784667127485741	0.00793379013528989	0.00720803447737341	0.00748475632018356	0.00660199975523947
GCA.000613425.1.ASM61342v1	0.00741431472354747	0.00718869517049926	0.00747480157927034	0.00897958811204497	0.00837791685069528	0.00738124759072283	0.00736488917947269	0	0.00529983052058178	0.00645762583004057	0.0066042024653347	0.00662535052710781	0.00732541421230634	0.00768015452175508	0.00725876282540581	0.00683384400685175	0.00747174036613027	0.00715949675835962	0.00755381159643975	0.0069132056084218	0.00705655278020811	0.00735900006980543	0.0070072666291172	0.00729757832369662	0.00738803373321178	0.00808731573353332	0.00774476937535554	0.00738537100546651	0.00719580176834796	0.00747300051507579	0.00752758076963918	0.00888329168521844	0.00965726042613114	0.00948530463003634	0.0105421160884429	0.0106132865436508	0.010976720604375	0.0109922670197092	0.0110988747175602	0.0115244274853095	0.0112942236226938	0.0101146692647579	0.00799783683851095	0.00728663378938021	0.00790782151011666	0.00801584092073294	0.00810295978116542	0.00737720412324893	0.00765392596605908	0.00718684230450912
GCA.003475385.1.ASM347538v1	0.00721889503051035	0.00699327547746214	0.00727938188623322	0.00878416841900785	0.00818249715765816	0.0071858278976857	0.00716946948643557	0.00529983052058178	0	0.00626220613700345	0.00640878277229757	0.00642993083407069	0.00712999451926922	0.00748473482871796	0.00706334313236869	0.00663842431381463	0.00727632067309315	0.0069640770653225	0.00735839190340263	0.00671778591538468	0.00686113308717099	0.00716358037676831	0.00681184693608008	0.0071021586306595	0.00719261404017466	0.0078918960404962	0.00754934968231842	0.00718995131242939	0.00700038207531084	0.00727758082203867	0.00733216107660206	0.00868787199218132	0.00946184073309402	0.00928988493699921	0.0103466963954057	0.0104178668506136	0.0107813009113379	0.010796847326672	0.0109034550245231	0.0113290077922723	0.0110988039296567	0.00991924957172079	0.00780241714547383	0.00709121409634309	0.00771240181707953	0.00782042122769581	0.00790754008812829	0.00718178443021181	0.00745850627302196	0.006991422611472
GCA.000598585.1.ASM59858v1	0.00699961749031075	0.00677399793726254	0.00706010434603362	0.00856489087880825	0.00796321961745856	0.0069665503574861	0.00695019194623597	0.00645762583004057	0.00626220613700345	0	0.00572834791570986	0.00574949597748298	0.00691071697906961	0.00726545728851836	0.00684406559216909	0.00641914677361503	0.00705704313289354	0.00674479952512289	0.00713911436320303	0.00649850837518507	0.00664185554697138	0.00694430283656871	0.00659256939588047	0.00688288109045989	0.00697333649997506	0.0076726185002966	0.00733007214211881	0.00697067377222979	0.00678110453511124	0.00705830328183907	0.00711288353640245	0.00846859445198172	0.00924256319289442	0.00907060739679961	0.0101274188552061	0.010198589310414	0.0105620233711383	0.0105775697864724	0.0106841774843235	0.0111097302520727	0.0108795263894571	0.00969997203152119	0.00758313960527422	0.00687193655614348	0.00749312427687993	0.00760114368749621	0.00768826254792869	0.00696250689001221	0.00723922873282235	0.0067721450712724
